mirtarbase,entrez targets
hsa-miR-137,12
hsa-miR-183-5p,15
hsa-miR-33b-5p,19
hsa-miR-33a-5p,19
hsa-miR-33a-5p,19
hsa-miR-33a-5p,19
hsa-miR-26a-5p,19
hsa-miR-26b-5p,19
hsa-miR-19a-3p,19
hsa-miR-27a-3p,19
hsa-miR-27a-3p,19
hsa-miR-128-3p,19
hsa-miR-27b-3p,19
hsa-miR-613,19
hsa-miR-203a-3p,25
hsa-miR-203a-3p,25
hsa-miR-203a-3p,25
hsa-miR-29a-3p,25
hsa-miR-30a-5p,25
hsa-miR-4723-5p,25
hsa-miR-20a-5p,27
hsa-miR-9-5p,38
hsa-miR-212-3p,43
hsa-miR-644a,60
hsa-miR-206,86
hsa-miR-148a-3p,90
hsa-miR-148b-3p,90
hsa-miR-365a-3p,90
hsa-miR-26a-5p,90
hsa-miR-24-3p,91
hsa-miR-199a-5p,91
hsa-miR-135b-5p,91
hsa-miR-16-5p,92
hsa-miR-192-5p,93
hsa-miR-215-5p,93
hsa-miR-194-5p,93
hsa-miR-141-3p,93
hsa-miR-200c-3p,93
hsa-miR-140-5p,100
hsa-miR-122-5p,102
hsa-miR-1-3p,103
hsa-miR-17-5p,103
hsa-miR-432-5p,103
hsa-miR-96-5p,112
hsa-miR-182-5p,112
hsa-miR-182-5p,112
hsa-miR-181b-5p,115
hsa-miR-145-5p,120
hsa-miR-126-3p,133
hsa-miR-27b-3p,136
hsa-miR-223-3p,142
hsa-miR-708-5p,142
hsa-miR-145-5p,164
hsa-miR-34a-5p,182
hsa-miR-34a-5p,182
hsa-miR-34a-5p,182
hsa-miR-21-5p,182
hsa-miR-21-5p,182
hsa-miR-34b-3p,182
hsa-miR-524-5p,182
hsa-miR-199b-5p,182
hsa-miR-124-3p,182
hsa-miR-214-3p,182
hsa-miR-199a-5p,182
hsa-miR-155-5p,185
hsa-miR-155-5p,185
hsa-miR-155-5p,185
hsa-miR-155-5p,185
hsa-miR-155-5p,185
hsa-miR-155-5p,185
hsa-miR-155-5p,185
hsa-miR-561-3p,190
hsa-miR-124-3p,196
hsa-miR-181a-5p,196
hsa-miR-125b-5p,207
hsa-miR-149-3p,207
hsa-miR-451a,207
hsa-miR-302a-3p,207
hsa-miR-302b-3p,207
hsa-miR-302c-3p,207
hsa-miR-302d-3p,207
hsa-miR-143-3p,207
hsa-miR-100-5p,207
hsa-miR-19a-3p,207
hsa-miR-19a-3p,207
hsa-miR-133b,207
hsa-miR-708-5p,207
hsa-miR-105-5p,207
hsa-miR-184,208
hsa-miR-203a-3p,208
hsa-miR-708-5p,208
hsa-miR-21-5p,208
hsa-miR-612,208
hsa-miR-612,208
hsa-miR-29a-3p,208
hsa-miR-29a-3p,208
hsa-miR-29b-3p,208
hsa-miR-29c-3p,208
hsa-miR-137,208
hsa-miR-137,208
hsa-let-7g-5p,208
hsa-let-7b-5p,208
hsa-miR-302b-3p,208
hsa-miR-192-5p,214
hsa-miR-215-5p,214
hsa-miR-148b-3p,214
hsa-miR-483-5p,214
hsa-miR-140-5p,216
hsa-miR-145-5p,218
hsa-miR-122-5p,226
hsa-miR-96-5p,238
hsa-miR-185-5p,239
hsa-miR-204-5p,249
hsa-miR-145-5p,251
hsa-miR-762,262
hsa-miR-376a-5p,267
hsa-miR-409-3p,283
hsa-miR-145-5p,285
hsa-miR-542-3p,285
hsa-miR-122-5p,287
hsa-miR-636,292
hsa-miR-196a-5p,301
hsa-miR-221-3p,301
hsa-miR-1-3p,302
hsa-miR-155-5p,302
hsa-miR-133a-3p,302
hsa-miR-122-5p,311
hsa-miR-21-5p,317
hsa-miR-155-5p,317
hsa-miR-221-3p,317
hsa-miR-23a-3p,317
hsa-miR-23a-3p,317
hsa-miR-155-5p,324
hsa-miR-155-5p,324
hsa-miR-155-5p,324
hsa-miR-135b-5p,324
hsa-miR-135a-5p,324
hsa-miR-27a-3p,324
hsa-miR-27a-3p,324
hsa-miR-106b-5p,324
hsa-miR-663a,324
hsa-miR-129-5p,324
hsa-miR-142-3p,324
hsa-miR-135a-5p,324
hsa-miR-204-5p,329
hsa-miR-34a-3p,331
hsa-miR-200b-3p,331
hsa-miR-200c-3p,331
hsa-miR-429,331
hsa-miR-181a-5p,331
hsa-miR-181b-5p,331
hsa-miR-24-3p,331
hsa-miR-4782-3p,331
hsa-miR-7-5p,331
hsa-miR-130a-3p,331
hsa-miR-542-3p,332
hsa-miR-218-5p,332
hsa-miR-708-5p,332
hsa-miR-203a-3p,332
hsa-miR-203a-3p,332
hsa-miR-203a-3p,332
hsa-miR-203a-3p,332
hsa-miR-335-5p,332
hsa-miR-34a-5p,332
hsa-miR-34a-5p,332
hsa-miR-195-5p,332
hsa-miR-497-5p,332
hsa-miR-150-5p,332
hsa-miR-16-5p,332
hsa-miR-199a-5p,348
hsa-miR-1908-5p,348
hsa-miR-199a-3p,348
hsa-miR-106b-5p,351
hsa-miR-101-3p,351
hsa-miR-101-3p,351
hsa-miR-520c-3p,351
hsa-miR-106a-5p,351
hsa-miR-20a-5p,351
hsa-miR-20a-5p,351
hsa-miR-17-5p,351
hsa-miR-146a-5p,355
hsa-miR-146a-5p,355
hsa-miR-106a-5p,355
hsa-miR-196b-5p,355
hsa-miR-23a-3p,355
hsa-miR-21-5p,356
hsa-miR-21-5p,356
hsa-miR-21-5p,356
hsa-miR-21-5p,356
hsa-miR-21-5p,356
hsa-miR-21-5p,356
hsa-miR-320a,358
hsa-miR-874-3p,360
hsa-miR-874-3p,360
hsa-miR-185-5p,360
hsa-miR-320a,361
hsa-miR-488-5p,367
hsa-miR-488-5p,367
hsa-miR-124-3p,367
hsa-miR-124-3p,367
hsa-miR-185-5p,367
hsa-miR-34a-5p,367
hsa-miR-205-5p,367
hsa-miR-200a-3p,374
hsa-miR-320a,375
hsa-miR-31-5p,387
hsa-miR-31-5p,387
hsa-miR-31-5p,387
hsa-miR-122-5p,387
hsa-miR-122-5p,387
hsa-miR-155-5p,387
hsa-miR-185-5p,387
hsa-miR-31-3p,387
hsa-miR-200c-3p,387
hsa-miR-375,387
hsa-miR-133b,387
hsa-miR-125a-3p,387
hsa-miR-340-5p,387
hsa-miR-223-3p,388
hsa-miR-223-3p,388
hsa-miR-21-5p,388
hsa-miR-21-5p,388
hsa-miR-21-5p,388
hsa-miR-21-5p,388
hsa-miR-138-5p,389
hsa-miR-138-5p,389
hsa-miR-372-3p,389
hsa-miR-302b-3p,389
hsa-miR-493-3p,389
hsa-miR-200b-3p,390
hsa-miR-200b-3p,390
hsa-miR-200b-3p,390
hsa-miR-17-5p,390
hsa-miR-200c-3p,390
hsa-miR-124-3p,391
hsa-miR-486-5p,394
hsa-miR-494-3p,394
hsa-miR-151a-5p,396
hsa-miR-151a-5p,396
hsa-miR-34a-5p,397
hsa-miR-16-5p,402
hsa-miR-195-5p,402
hsa-miR-107,405
hsa-miR-221-3p,405
hsa-miR-494-3p,406
hsa-miR-142-3p,406
