entrez,mirbase
406881,hsa-let-7a-1
406882,hsa-let-7a-2
100616143,hsa-let-7a-3
406884,hsa-let-7a-3
406883,hsa-let-7a-3
400931,hsa-let-7a-3
100616143,hsa-let-7b
406884,hsa-let-7b
406883,hsa-let-7b
400931,hsa-let-7b
406885,hsa-let-7c
406886,hsa-let-7d
406887,hsa-let-7e
406888,hsa-let-7f-1
406889,hsa-let-7f-2
406890,hsa-let-7g
406891,hsa-let-7i
406904,hsa-mir-1-1
406892,hsa-mir-100
406893,hsa-mir-101-1
406894,hsa-mir-101-2
406895,hsa-mir-103a-1
406896,hsa-mir-103a-2
100302238,hsa-mir-103b-1
100302282,hsa-mir-103b-2
406897,hsa-mir-105-1
406898,hsa-mir-105-2
574033,hsa-mir-106a
574032,hsa-mir-106a
574031,hsa-mir-106a
407049,hsa-mir-106a
406981,hsa-mir-106a
406899,hsa-mir-106a
406900,hsa-mir-106b
406901,hsa-mir-107
406903,hsa-mir-10b
100302235,hsa-mir-1179
100302256,hsa-mir-1180
100302122,hsa-mir-1183
100422985,hsa-mir-1184-1
100422977,hsa-mir-1184-1
100302111,hsa-mir-1184-1
100422985,hsa-mir-1184-2
100422977,hsa-mir-1184-2
100302111,hsa-mir-1184-2
100422985,hsa-mir-1184-3
100422977,hsa-mir-1184-3
100302111,hsa-mir-1184-3
100302157,hsa-mir-1185-1
100302209,hsa-mir-1185-2
100422837,hsa-mir-1193
100302250,hsa-mir-1197
100302113,hsa-mir-1200
100302259,hsa-mir-1202
100302211,hsa-mir-1203
100302185,hsa-mir-1204
100302161,hsa-mir-1205
100302170,hsa-mir-1206
100302175,hsa-mir-1207
100302281,hsa-mir-1208
406906,hsa-mir-122
100187716,hsa-mir-1224
100188847,hsa-mir-1225
100302232,hsa-mir-1226
100302283,hsa-mir-1227
100302201,hsa-mir-1228
100302156,hsa-mir-1229
100302158,hsa-mir-1231
100422845,hsa-mir-1233-1
100302160,hsa-mir-1233-1
100422845,hsa-mir-1233-2
100302160,hsa-mir-1233-2
100302280,hsa-mir-1237
100302226,hsa-mir-1238
406907,hsa-mir-124-1
157627,hsa-mir-124-1
406908,hsa-mir-124-2
406909,hsa-mir-124-3
100302188,hsa-mir-1243
103504734,hsa-mir-1244-1
100422885,hsa-mir-1244-1
100422872,hsa-mir-1244-1
103504734,hsa-mir-1244-2
100422885,hsa-mir-1244-2
100422872,hsa-mir-1244-2
103504734,hsa-mir-1244-3
100422885,hsa-mir-1244-3
100422872,hsa-mir-1244-3
103504734,hsa-mir-1244-4
100422885,hsa-mir-1244-4
100422872,hsa-mir-1244-4
100302219,hsa-mir-1245a
100616324,hsa-mir-1245b
100302219,hsa-mir-1245b
100302142,hsa-mir-1246
100302145,hsa-mir-1247
100302149,hsa-mir-1249
100302229,hsa-mir-1250
100302289,hsa-mir-1251
100302136,hsa-mir-1252
100302208,hsa-mir-1253
100302273,hsa-mir-1254-1
100616217,hsa-mir-1254-2
100302193,hsa-mir-1255a
100313806,hsa-mir-1255b-1
100313835,hsa-mir-1255b-2
100302155,hsa-mir-1256
100302172,hsa-mir-1258
406910,hsa-mir-125a
406911,hsa-mir-125b-1
406912,hsa-mir-125b-2
406913,hsa-mir-126
100302236,hsa-mir-1260a
100422991,hsa-mir-1260b
100302228,hsa-mir-1261
100302279,hsa-mir-1262
100302148,hsa-mir-1263
100302251,hsa-mir-1264
100302116,hsa-mir-1265
100302202,hsa-mir-1266
100302286,hsa-mir-1267
100302233,hsa-mir-1268a
100616121,hsa-mir-1268b
100302177,hsa-mir-1269a
100616494,hsa-mir-1269b
406914,hsa-mir-127
100302179,hsa-mir-1270
100302203,hsa-mir-1271
100302184,hsa-mir-1272
100302165,hsa-mir-1273a
100422821,hsa-mir-1273c
100422970,hsa-mir-1273d
100526648,hsa-mir-1273e
100616156,hsa-mir-1273f
100616145,hsa-mir-1273g
102466247,hsa-mir-1273h
100302123,hsa-mir-1275
100302121,hsa-mir-1276
100302214,hsa-mir-1277
100302163,hsa-mir-1278
100302182,hsa-mir-1279
406915,hsa-mir-128-1
406916,hsa-mir-128-2
100302254,hsa-mir-1282
100302265,hsa-mir-1283-1
100302205,hsa-mir-1283-2
100302112,hsa-mir-1284
100302218,hsa-mir-1285-1
100302268,hsa-mir-1285-2
100302118,hsa-mir-1286
100302124,hsa-mir-1288
100302125,hsa-mir-1289-1
100302134,hsa-mir-1289-2
406917,hsa-mir-129-1
406918,hsa-mir-129-2
100302276,hsa-mir-1290
100302221,hsa-mir-1291
100302220,hsa-mir-1293
100302181,hsa-mir-1294
100302178,hsa-mir-1295a
100847009,hsa-mir-1295b
100302150,hsa-mir-1296
100302187,hsa-mir-1297
100302153,hsa-mir-1298
100302167,hsa-mir-1299
100302246,hsa-mir-1301
100302227,hsa-mir-1302-1
105376912,hsa-mir-1302-10
100422919,hsa-mir-1302-10
100422834,hsa-mir-1302-10
100302278,hsa-mir-1302-10
105376912,hsa-mir-1302-11
100422919,hsa-mir-1302-11
100422834,hsa-mir-1302-11
100302278,hsa-mir-1302-11
105376912,hsa-mir-1302-2
100422919,hsa-mir-1302-2
100422834,hsa-mir-1302-2
100302278,hsa-mir-1302-2
100302128,hsa-mir-1302-3
100302130,hsa-mir-1302-4
100302146,hsa-mir-1302-5
100302140,hsa-mir-1302-6
100302147,hsa-mir-1302-7
100302223,hsa-mir-1302-8
105376912,hsa-mir-1302-9
100422919,hsa-mir-1302-9
100422834,hsa-mir-1302-9
100302278,hsa-mir-1302-9
100302284,hsa-mir-1303
100302270,hsa-mir-1305
406919,hsa-mir-130a
406920,hsa-mir-130b
406921,hsa-mir-132
100302171,hsa-mir-1321
100302166,hsa-mir-1322
100302255,hsa-mir-1323
442890,hsa-mir-133b
406924,hsa-mir-134
100616437,hsa-mir-1343
406925,hsa-mir-135a-1
406926,hsa-mir-135a-2
442891,hsa-mir-135b
406927,hsa-mir-136
100616452,hsa-mir-137
406928,hsa-mir-137
400765,hsa-mir-137
406929,hsa-mir-138-1
406930,hsa-mir-138-2
406931,hsa-mir-139
406932,hsa-mir-140
406933,hsa-mir-141
406935,hsa-mir-143
100616385,hsa-mir-144
574411,hsa-mir-144
406936,hsa-mir-144
406937,hsa-mir-145
100302115,hsa-mir-1468
107075116,hsa-mir-146a
406938,hsa-mir-146a
574447,hsa-mir-146b
100302127,hsa-mir-1470
100302126,hsa-mir-1471
406939,hsa-mir-147a
406940,hsa-mir-148a
442892,hsa-mir-148b
406941,hsa-mir-149
406942,hsa-mir-150
442893,hsa-mir-151a
100616247,hsa-mir-151b
406943,hsa-mir-152
406944,hsa-mir-153-1
406945,hsa-mir-153-2
100302139,hsa-mir-1537
100302119,hsa-mir-1538
406946,hsa-mir-154
406947,hsa-mir-155
114614,hsa-mir-155
100616251,hsa-mir-1587
406949,hsa-mir-15b
406950,hsa-mir-16-1
406951,hsa-mir-16-2
407975,hsa-mir-17
407048,hsa-mir-17
406982,hsa-mir-17
406980,hsa-mir-17
406979,hsa-mir-17
406953,hsa-mir-17
406952,hsa-mir-17
406995,hsa-mir-181a-1
406954,hsa-mir-181a-2
406955,hsa-mir-181b-1
406956,hsa-mir-181b-2
406957,hsa-mir-181c
574457,hsa-mir-181d
406958,hsa-mir-182
100302217,hsa-mir-1827
406959,hsa-mir-183
406960,hsa-mir-184
406961,hsa-mir-185
406962,hsa-mir-186
406963,hsa-mir-187
406964,hsa-mir-188
407975,hsa-mir-18a
407048,hsa-mir-18a
406982,hsa-mir-18a
406980,hsa-mir-18a
406979,hsa-mir-18a
406953,hsa-mir-18a
406952,hsa-mir-18a
574033,hsa-mir-18b
574032,hsa-mir-18b
574031,hsa-mir-18b
407049,hsa-mir-18b
406981,hsa-mir-18b
406899,hsa-mir-18b
