"mirtarbase","targets"
"ebv-miR-BART10-3p","159, 331, 905, 998, 2182, 3423, 3658, 4297, 5048, 5537, 5930, 6400, 6612, 7037, 7153, 7733, 7764, 8202, 8653, 8795, 8864, 9474, 9517, 9685, 10284, 10659, 22849, 23155, 23196, 23347, 23468, 23515, 23568, 25780, 25852, 29123, 50628, 51028, 51320, 51366, 53339, 54677, 54918, 54989, 55294, 55686, 55731, 55746, 56910, 57520, 57674, 64062, 64434, 64793, 80315, 130340, 132864, 348995"
"ebv-miR-BART13-3p","867, 1503, 1983, 3099, 3920, 4170, 4214, 4289, 4708, 5494, 6309, 7073, 10152, 10184, 10564, 11073, 23031, 23102, 25957, 26512, 28511, 51663, 53944, 54908, 55090, 55623, 57478, 57532, 60592, 64710, 79572, 85025, 163859, 200424, 203228, 254428, 345757, 387263"
"ebv-miR-BART15","57448"
"ebv-miR-BART16","56993"
"ebv-miR-BART3-3p","10527"
"ebv-miR-BART4-5p","1376, 1871, 2074, 5450, 6541, 6666, 9889, 10018, 10285, 10426, 10564, 10592, 22848, 23186, 23360, 26046, 26959, 51397, 55573, 57534, 79646, 79665, 83440, 84312, 84437, 163859"
"ebv-miR-BART6-5p","23405"
"ebv-miR-BART7-3p","159, 387, 1182, 1982, 2683, 2729, 3185, 4792, 5062, 5230, 5440, 5525, 5873, 6125, 7110, 7133, 7532, 7733, 7764, 7812, 8089, 8301, 8445, 9031, 9824, 9969, 10236, 10484, 10714, 10771, 10785, 11183, 22797, 23256, 23367, 23379, 23598, 25780, 26610, 27125, 29093, 51094, 51164, 51204, 54556, 55163, 55166, 55251, 55266, 56919, 57326, 58527, 79158, 79786, 80351, 80742, 81567, 84186, 92241, 
92597, 158358, 166968, 257144, 339324, 339344"
"ebv-miR-BHRF1-1","10969"
"ebv-miR-BHRF1-2-3p","9260"
"gga-miR-26a-5p","10783"
"gga-miR-489-3p","4088"
"hcmv-miR-UL112-3p","4277"
"hcmv-miR-US25-2-3p","1973"
"hsa-let-7a-2-3p","351, 790, 805, 805, 891, 891, 1164, 1164, 1164, 2274, 2534, 2562, 2779, 3148, 3148, 3480, 3619, 3619, 3714, 3745, 3838, 3838, 3838, 3838, 3838, 4502, 4651, 4651, 4691, 4691, 4719, 4973, 5451, 5792, 5878, 5878, 5878, 5878, 5887, 6188, 6434, 6498, 6628, 6628, 7716, 7803, 8091, 8091, 8091, 8289, 8467, 8520, 8554, 8554, 9053, 9053, 9053, 9053, 9126, 9522, 9754, 10042, 10042, 
10066, 10152, 10186, 10186, 10336, 10370, 10395, 10541, 10541, 11143, 22862, 23231, 23231, 23491, 23705, 26071, 26071, 26224, 51322, 51351, 51427, 54439, 54439, 54460, 54877, 54877, 55033, 55147, 55326, 57178, 57226, 60468, 63905, 65059, 79038, 80311, 80311, 81605, 84823, 84823, 84833, 84959, 85440, 94241, 116447, 117177, 160518, 219902, 253152, 283471, 284018, 285598, 348158, 348158, 353345, 
730094"
"hsa-let-7a-3p","52, 93, 125, 125, 125, 220, 689, 694, 1027, 1385, 1431, 1478, 1746, 1829, 1848, 1974, 2565, 2932, 2956, 3148, 3675, 3949, 3949, 3949, 4071, 4154, 4193, 4267, 4267, 5229, 5255, 5514, 5813, 6095, 6217, 6247, 6307, 6717, 7071, 7465, 7695, 7716, 7855, 7855, 8036, 8036, 8036, 8036, 8036, 8520, 9043, 9172, 9221, 9276, 9422, 9422, 9650, 10172, 10257, 10507, 10802, 10856, 22834, 
23133, 23133, 23181, 23548, 23649, 25834, 25852, 25949, 26136, 26585, 26959, 26959, 26994, 27154, 29843, 29843, 29843, 29843, 29982, 29982, 29982, 51318, 51592, 53938, 54093, 54940, 55032, 55471, 55680, 57337, 57492, 57492, 57568, 58487, 58487, 58487, 58488, 60312, 60496, 64895, 65125, 79733, 79733, 80311, 80311, 84458, 84458, 84458, 84458, 84826, 85313, 91663, 91663, 94241, 116984, 119504, 
135112, 137886, 140456, 140456, 140456, 140707, 144245, 145282, 148423, 151050, 151473, 151473, 153222, 163590, 168850, 199704, 205717, 285513, 339318, 339327, 359948, 359948, 359948, 389677, 389677"
