"mirtarbase","wptargets"
"ebv-miR-BART15","WP1772"
"ebv-miR-BART6-5p","WP2338, WP2805, WP2943, WP411"
"ebv-miR-BHRF1-2-3p","WP262"
"gga-miR-489-3p","WP138, WP179, WP1971, WP2324, WP236, WP2853, WP2857, WP2870, WP34, WP3646, WP366, WP3668, WP3850, WP3859, WP3874, WP560, WP615, WP710"
"hcmv-miR-US25-2-3p","WP107, WP585"
"hsa-let-7a-5p","WP12, WP127, WP138, WP1403, WP1433, WP1434, WP1449, WP1455, WP15, WP1530, WP1533, WP1545, WP1601, WP1742, WP176, WP1772, WP179, WP185, WP1971, WP1984, WP1991, WP2012, WP2032, WP2034, WP2036, WP2037, WP2038, WP205, WP2059, WP2064, WP2118, WP2203, WP2249, WP2261, WP2290, WP23, WP231, WP2324, WP2328, WP2332, WP2338, WP2355, WP236, WP2363, WP2369, WP2371, WP2374, WP2377, WP2380, WP24, WP2406, WP2431, 
WP244, WP2446, WP2447, WP2507, WP2516, WP2526, WP254, WP2572, WP2586, WP2637, WP2643, WP2805, WP2828, WP2848, WP2849, WP2853, WP2857, WP2858, WP286, WP2864, WP2868, WP2870, WP2873, WP2878, WP289, WP2916, WP2943, WP304, WP306, WP313, WP314, WP322, WP3286, WP3287, WP3301, WP3302, WP3303, WP34, WP35, WP3527, WP3584, WP3594, WP3596, WP3599, WP3611, WP3617, WP3624, WP363, WP364, WP3640, WP3646, WP3651, 
WP366, WP3672, WP3676, WP3680, WP382, WP384, WP3844, WP3851, WP3853, WP3863, WP3872, WP3878, WP3888, WP3893, WP3915, WP3927, WP3929, WP3931, WP3932, WP3941, WP3959, WP399, WP400, WP404, WP411, WP422, WP428, WP437, WP45, WP455, WP474, WP481, WP49, WP51, WP530, WP560, WP61, WP615, WP673, WP69, WP706, WP707, WP710, WP727, WP732, WP75"
"hsa-let-7b-5p","WP12, WP138, WP1403, WP1433, WP1449, WP1530, WP1544, WP1545, WP1559, WP170, WP1772, WP179, WP185, WP1971, WP1984, WP1991, WP2018, WP2032, WP2034, WP2036, WP2037, WP205, WP2249, WP2261, WP2272, WP2290, WP23, WP231, WP2332, WP2355, WP236, WP2374, WP2377, WP2380, WP2406, WP2431, WP244, WP2446, WP2516, WP2526, WP254, WP2572, WP2586, WP26, WP262, WP2643, WP2795, WP2828, WP2857, WP286, WP2864, WP2870, 
WP2878, WP2879, WP2911, WP304, WP306, WP313, WP3286, WP3302, WP3303, WP34, WP35, WP3527, WP3599, WP3611, WP3617, WP363, WP3634, WP3635, WP364, WP3646, WP3651, WP3658, WP366, WP3668, WP3676, WP382, WP3844, WP3850, WP3851, WP3853, WP3858, WP3865, WP3874, WP3877, WP3888, WP3915, WP3926, WP3929, WP3931, WP3932, WP3935, WP3945, WP395, WP399, WP400, WP422, WP428, WP43, WP437, WP45, WP453, WP465, WP474, 
WP481, WP49, WP51, WP530, WP560, WP581, WP585, WP61, WP615, WP619, WP673, WP678, WP69, WP702, WP707, WP710, WP716, WP732, WP75"
"hsa-let-7c-5p","WP12, WP127, WP1403, WP1433, WP1434, WP1449, WP1455, WP1471, WP15, WP1530, WP1533, WP1544, WP1545, WP1584, WP1589, WP1742, WP176, WP1772, WP185, WP1971, WP1982, WP1984, WP2011, WP2018, WP2032, WP2034, WP2035, WP2036, WP2037, WP205, WP2064, WP2112, WP2118, WP2203, WP2249, WP2261, WP2290, WP23, WP231, WP2328, WP236, WP2363, WP2374, WP2377, WP2380, WP2431, WP244, WP2446, WP2447, WP2507, WP254, WP2572, 
WP2586, WP2637, WP2643, WP2795, WP2828, WP2848, WP2849, WP2853, WP2857, WP2858, WP286, WP2864, WP2870, WP2878, WP289, WP2895, WP3, WP306, WP322, WP3287, WP3301, WP3303, WP34, WP35, WP3584, WP3594, WP3599, WP3611, WP3614, WP3617, WP3624, WP363, WP3634, WP3635, WP364, WP3640, WP3646, WP3651, WP3657, WP366, WP3668, WP3672, WP3676, WP3680, WP382, WP3844, WP3850, WP3851, WP3863, WP3872, WP3874, WP3878, 
WP3879, WP3888, WP3893, WP3915, WP3929, WP3931, WP3932, WP3945, WP3946, WP395, WP399, WP400, WP410, WP422, WP428, WP437, WP45, WP474, WP481, WP49, WP51, WP530, WP560, WP585, WP61, WP615, WP673, WP69, WP706, WP707, WP710, WP727, WP732, WP75"
"hsa-let-7d-5p","WP1530, WP1772, WP2007, WP2328, WP2338, WP254, WP2805, WP2857, WP2864, WP2943, WP3286, WP3624, WP3893, WP411, WP530, WP706, WP707"
"hsa-let-7e-3p","WP1433"
"hsa-let-7e-5p","WP129, WP138, WP1434, WP1530, WP1539, WP1544, WP1545, WP1772, WP179, WP1984, WP1992, WP2012, WP2032, WP2034, WP2036, WP2038, WP205, WP2064, WP2261, WP2324, WP236, WP2369, WP2377, WP2406, WP2431, WP2446, WP2516, WP254, WP2572, WP2795, WP2828, WP2848, WP2853, WP2855, WP2857, WP2858, WP2864, WP2865, WP2875, WP2878, WP2916, WP306, WP3286, WP3584, WP3594, WP3611, WP3617, WP3624, WP363, WP3646, WP3651, 
WP3655, WP3658, WP366, WP3664, WP3850, WP3878, WP3888, WP3931, WP3932, WP3939, WP3959, WP399, WP411, WP428, WP45, WP474, WP481, WP560, WP61, WP615, WP673, WP707, WP710"
"hsa-let-7f-5p","WP138, WP1433, WP1530, WP1545, WP1984, WP2034, WP2035, WP2037, WP205, WP2261, WP2328, WP2332, WP236, WP2374, WP2377, WP2431, WP2446, WP2572, WP2583, WP2828, WP2857, WP2864, WP2878, WP306, WP3286, WP34, WP3611, WP3617, WP3624, WP363, WP364, WP3646, WP3658, WP366, WP3888, WP3893, WP3929, WP3935, WP3945, WP395, WP399, WP428, WP43, WP45, WP465, WP481, WP49, WP530, WP585, WP61, WP619, WP673, WP702, 
WP706, WP707, WP710"
"hsa-let-7g-5p","WP127, WP1403, WP1449, WP1530, WP1544, WP1545, WP1559, WP1742, WP1772, WP179, WP185, WP1971, WP1984, WP2018, WP2032, WP2034, WP2036, WP2037, WP205, WP2059, WP2064, WP2203, WP2249, WP2261, WP2290, WP23, WP231, WP2324, WP2328, WP2355, WP2363, WP2371, WP2374, WP2377, WP2380, WP2431, WP2446, WP2447, WP2507, WP254, WP2586, WP26, WP2637, WP2643, WP2795, WP2828, WP2853, WP2857, WP2858, WP286, WP2864, 
WP2870, WP2878, WP2911, WP304, WP306, WP314, WP3286, WP3287, WP3302, WP3303, WP35, WP3611, WP3614, WP3624, WP363, WP3634, WP3635, WP364, WP3640, WP3646, WP3651, WP3657, WP366, WP3668, WP3670, WP3672, WP3674, WP3676, WP3680, WP382, WP384, WP3844, WP3850, WP3853, WP3859, WP3872, WP3874, WP3888, WP3893, WP3915, WP3929, WP3931, WP3932, WP3941, WP3945, WP395, WP3959, WP399, WP400, WP422, WP428, WP437, 
WP45, WP453, WP481, WP49, WP51, WP530, WP560, WP585, WP61, WP615, WP673, WP69, WP706, WP707, WP710, WP732, WP75"
"hsa-let-7i-5p","WP1433, WP1449, WP1544, WP1591, WP1992, WP2037, WP2064, WP2272, WP2328, WP2355, WP236, WP2377, WP2406, WP2431, WP254, WP2572, WP2795, WP2848, WP2855, WP2857, WP2858, WP2895, WP304, WP306, WP3624, WP3850, WP3851, WP3858, WP3877, WP3893, WP3926, WP3927, WP3931, WP3932, WP3935, WP395, WP474, WP481, WP530, WP560, WP581, WP585, WP615, WP619, WP706, WP75"
"hsa-miR-1-3p","WP100, WP111, WP127, WP134, WP138, WP1403, WP1449, WP1528, WP1539, WP1544, WP1591, WP1602, WP179, WP1946, WP1982, WP1984, WP1991, WP1992, WP1995, WP2011, WP2012, WP2029, WP2032, WP2034, WP2035, WP2037, WP2038, WP2064, WP2112, WP2118, WP2197, WP2203, WP2261, WP2272, WP23, WP2324, WP2355, WP2359, WP236, WP2371, WP2374, WP2377, WP2380, WP2406, WP2431, WP2435, WP2436, WP2643, WP268, WP2795, WP28, WP2853, 
WP2855, WP2858, WP2864, WP2865, WP2870, WP2874, WP2875, WP2881, WP2884, WP289, WP2895, WP2911, WP3, WP304, WP306, WP313, WP3286, WP3287, WP3298, WP3303, WP3413, WP3414, WP35, WP357, WP3584, WP3594, WP3599, WP3614, WP3624, WP363, WP3640, WP3651, WP366, WP3664, WP3670, WP3676, WP3680, WP382, WP3844, WP3845, WP3853, WP3859, WP3863, WP3878, WP3888, WP391, WP3915, WP3925, WP3929, WP3931, WP3932, WP3937, 
WP3939, WP3942, WP3946, WP395, WP399, WP408, WP428, WP437, WP453, WP474, WP481, WP500, WP51, WP524, WP536, WP550, WP61, WP615, WP623, WP692, WP706, WP710, WP712, WP727, WP732, WP75, WP98"
"hsa-miR-100-5p","WP127, WP129, WP138, WP1403, WP1425, WP1449, WP1471, WP1530, WP1539, WP1544, WP1545, WP1559, WP1584, WP1591, WP1742, WP179, WP185, WP186, WP195, WP1971, WP1982, WP1984, WP2011, WP2018, WP2032, WP2034, WP2035, WP2036, WP2037, WP2038, WP205, WP2064, WP2112, WP2203, WP2261, WP23, WP231, WP2324, WP2332, WP2355, WP236, WP2366, WP2374, WP2377, WP2380, WP2406, WP244, WP2516, WP254, WP2572, WP2583, WP2586, 
WP26, WP2636, WP268, WP2795, WP2828, WP2853, WP2857, WP286, WP2864, WP2870, WP2879, WP2942, WP304, WP306, WP313, WP3286, WP3303, WP34, WP3413, WP3584, WP3594, WP363, WP3634, WP3635, WP364, WP3640, WP3646, WP3651, WP3657, WP3658, WP366, WP3676, WP3680, WP382, WP3844, WP3850, WP3859, WP3863, WP3872, WP3874, WP3878, WP3879, WP3888, WP3915, WP3929, WP3931, WP3932, WP3935, WP395, WP3959, WP437, WP45, 
WP474, WP481, WP49, WP51, WP516, WP581, WP585, WP61, WP615, WP673, WP69, WP702, WP707, WP710, WP712, WP75"
"hsa-miR-101-3p","WP111, WP127, WP1403, WP1449, WP1471, WP15, WP1528, WP1530, WP1539, WP1544, WP1545, WP1584, WP1591, WP167, WP1742, WP1772, WP179, WP185, WP186, WP1971, WP1982, WP1984, WP2011, WP2012, WP2018, WP2032, WP2034, WP2035, WP2037, WP2038, WP2059, WP2064, WP2197, WP2203, WP2261, WP2328, WP2355, WP2369, WP2374, WP2377, WP2380, WP241, WP2431, WP2435, WP244, WP2446, WP2447, WP247, WP2507, WP2516, WP2525, 
WP2526, WP254, WP2586, WP2636, WP2637, WP2795, WP28, WP2828, WP2848, WP2849, WP2853, WP2857, WP2858, WP286, WP2864, WP2870, WP289, WP2916, WP2942, WP2943, WP304, WP306, WP313, WP3286, WP3287, WP3303, WP34, WP3413, WP3584, WP3585, WP3593, WP3594, WP3611, WP3612, WP3614, WP3617, WP363, WP3634, WP3635, WP364, WP3646, WP3651, WP3657, WP366, WP3676, WP3678, WP382, WP3844, WP3850, WP3863, WP3872, WP3878, 
WP3879, WP3888, WP3915, WP3929, WP3931, WP3932, WP3940, WP3943, WP3944, WP3947, WP395, WP3959, WP399, WP408, WP437, WP45, WP455, WP474, WP481, WP49, WP516, WP560, WP585, WP615, WP623, WP673, WP69, WP706, WP707, WP710, WP712, WP75, WP98"
"hsa-miR-101-5p","WP1530, WP179, WP2446, WP314, WP3594, WP3651, WP3878, WP3959, WP438, WP707"
