"entrez","wpids"
"10","WP3633, WP694, WP702"
"100","WP3594"
"1000","WP2064, WP2118, WP2380, WP2572, WP3859"
"10000","WP1449, WP185, WP2261, WP26, WP2643, WP306, WP3287, WP382, WP3929, WP3931, WP3932, WP673, WP710, WP75"
"10006","WP437"
"10008","WP3945"
"10009","WP399"
"1001","WP3287"
"10010","WP231, WP2637, WP3865"
"100124700","WP3672"
"100126302","WP1545"
"100126316","WP2059, WP2371"
"100126317","WP1545"
"100126325","WP2118"
"100126332","WP3414"
"100126333","WP2059"
"100126338","WP2032"
"100126343","WP2059"
"100126347","WP2059"
"100126348","WP2059"
"100126351","WP411"
"100129518","WP15, WP1533, WP176, WP3888, WP3940, WP408, WP710"
"10013","WP179, WP2064, WP2858"
"100132526","WP3655"
"10014","WP1544, WP179, WP2029, WP2064, WP2795, WP3414, WP3888"
"10017","WP1772, WP3872"
"10018","WP1772, WP2380, WP254, WP3611, WP3613, WP3876, WP673, WP710"
"100187716","WP2371"
"10019","WP3945, WP69"
"10021","WP1992"
"10023","WP363, WP399, WP428, WP710"
"100271849","WP1991, WP2012, WP2029"
"100287413","WP521, WP702"
"1003","WP3888"
"100302143","WP107"
"100302174","WP2059"
"100302181","WP2371"
"100302185","WP3640"
"100302196","WP411"
"100302197","WP2338, WP2805, WP2942"
"100302213","WP231, WP2586, WP2873, WP3670, WP3932"
"100302237","WP138, WP179, WP1984, WP2261, WP2377, WP2586, WP2873, WP304, WP3414, WP3594, WP3651, WP3657, WP366, WP395, WP399, WP560, WP61, WP706"
"100302242","WP3414"
"100302258","WP170, WP2858, WP3946"
"100302268","WP2059"
"100302274","WP524"
"100313774","WP2029"
"100313781","WP1449, WP1772, WP195, WP262, WP2637, WP2865, WP3298, WP3656, WP3851, WP3858, WP3877, WP3926, WP75"
"100313923","WP1545"
"10036","WP2509"
"100379661","WP1971, WP1984"
"10038","WP3645"
"1004","WP2064, WP2858, WP3859"
"100422832","WP1530, WP1742, WP1772, WP1971, WP2377, WP254, WP3613, WP707, WP710"
"100422842","WP1530, WP1545, WP2029, WP2849"
"100422894","WP244, WP306, WP3932"
"100422910","WP1544, WP22, WP2795, WP3414"
"100422912","WP2059"
"100423009","WP3888"
"100423031","WP2857"
"100423037","WP2059"
"10048","WP2380"
"1005","WP2064"
"100500805","WP111"
"100500808","WP2038, WP2377, WP2446, WP3303, WP382, WP437"
"100500810","WP179, WP2377, WP481"
"100500827","WP3865"
"100500832","WP1601"
"100500837","WP2911, WP306, WP3932, WP453, WP615"
"100500842","WP3613, WP3932, WP706"
"100500860","WP2338, WP2805, WP2942"
"100500863","WP2911"
"100500888","WP3527"
"100500912","WP2267"
"100505585","WP35, WP437, WP51, WP524"
"100505984","WP185, WP2118, WP2911, WP306, WP3932, WP560"
"100506403","WP2849, WP3300"
"100506658","WP2272, WP3888"
"100506742","WP2059, WP2355, WP2377, WP2447"
"100506755","WP2371"
"100507436","WP2328"
"10052","WP536"
"100526830","WP692, WP702"
"100526831","WP692, WP702"
"10056","WP3925"
"10057","WP1601, WP2884"
"10059","WP2267"
"1006","WP2858"
"100616112","WP117"
"100616113","WP585"
"100616122","WP2038, WP382"
"100616127","WP2371"
"100616139","WP3878"
"100616143","WP2249"
"100616211","WP3945"
"100616237","WP3670"
"100616250","WP1544, WP22, WP2795, WP3414"
"100616270","WP43"
"100616282","WP2369"
"100616340","WP244, WP2572, WP306, WP3932, WP453"
"100616357","WP1530, WP2029"
"100616387","WP3594"
"100616403","WP111, WP623"
"100616408","WP3594"
"100616414","WP2436, WP550, WP697, WP702, WP704"
