"entrez","wpids"
"100038882","WP1253"
"100039053","WP2292"
"100039499","WP41"
"100039863","WP2292"
"100039939","WP2292"
"100040048","WP2292"
"100040843","WP2316"
"100040929","WP163"
"100041273","WP295"
"100041504","WP2292"
"100041593","WP2292"
"100042019","WP163"
"100042025","WP157"
"100042150","WP1261"
"100042295","WP1251, WP1264, WP164"
"100042355","WP3638"
"100042503","WP295"
"100043348","WP163"
"100043456","WP495, WP55"
"100043507","WP2292, WP232, WP2841, WP385, WP553"
"100043674","WP265"
"100043876","WP163"
"100121","WP310"
"100129","WP1397"
"100336","WP310"
"100502825","WP163, WP310"
"100503710","WP2292, WP2841"
"100504362","WP2292"
"100705","WP336"
"100727","WP1241"
"100861978","WP2292"
"100861987","WP310"
"100862177","WP2292"
"100862446","WP1596"
"100862456","WP1244, WP567"
"100862468","WP310"
"100986","WP232"
"101314","WP523"
"101943","WP310"
"102060","WP1763"
"102093","WP317"
"102216272","WP1244, WP567"
"102294","WP1251, WP1274"
"102414","WP310"
"102436","WP662"
"102462","WP310"
"102626","WP571"
"102634709","WP163, WP310"
"102641064","WP163"
"102641086","WP1244, WP567"
"102641229","WP1253"
"102641276","WP2292, WP232, WP2841, WP385, WP553"
"102641315","WP1248, WP295"
"102641347","WP1248, WP295"
"102641436","WP307"
"102641600","WP295"
"102641666","WP151, WP1763, WP2841, WP350, WP373, WP385, WP493"
"102641678","WP1248, WP295"
"102641751","WP1763, WP246"
"102641809","WP350"
"102642045","WP1763"
"102642137","WP163, WP246, WP310"
"102642602","WP163, WP310"
"102642637","WP310"
"102642689","WP163, WP488"
"102642752","WP163, WP310"
"102642864","WP163, WP310"
"102642938","WP310"
"102642963","WP163"
"102643057","WP396"
"102643089","WP1266, WP1496, WP200, WP449"
"102643269","WP246, WP310"
"102857","WP310"
"103551","WP1763"
"103583","WP246"
"103711","WP1272, WP1273"
"103806","WP265, WP29"
"103850","WP2185"
"103963","WP519"
"103968","WP2316, WP447"
"103988","WP157, WP493"
"104027","WP2573"
"104086","WP1251, WP1274, WP2316"
"104099","WP2841, WP6, WP85"
"104110","WP2185, WP2292, WP232, WP385, WP553"
"104111","WP2185, WP2292, WP232, WP385, WP553"
"104112","WP336, WP662"
"104156","WP1763"
"104158","WP475"
"104215","WP65"
"104248","WP1763"
