"mirtarbase","hits"
"hsa-let-7b-5p","12530, 18176"
"hsa-miR-1-3p","7054"
"hsa-miR-103a-3p","12447, 12566, 12912"
"hsa-miR-125a-5p","16848"
"hsa-miR-125b-5p","12018, 21685, 235472"
"hsa-miR-126-3p","227634"
"hsa-miR-132-3p","17257"
"hsa-miR-140-5p","13654"
"hsa-miR-142-3p","73178"
"hsa-miR-146a-5p","13869"
"hsa-miR-146b-5p","105844"
"hsa-miR-150-5p","17863"
"hsa-miR-155-5p","11865, 11865, 12608, 12978, 12978, 13047, 15251, 16331, 16468, 20375, 20491, 233489"
"hsa-miR-17-5p","12043, 16452, 20850, 21813"
"hsa-miR-181c-5p","21926"
"hsa-miR-18a-5p","17126, 17128"
"hsa-miR-190b","219135"
"hsa-miR-200b-3p","23512"
"hsa-miR-200c-3p","19699, 22359"
"hsa-miR-205-5p","2104"
"hsa-miR-206","72948"
"hsa-miR-20a-5p","19091, 21813"
"hsa-miR-21-5p","19211, 53614"
"hsa-miR-22-3p","18295"
"hsa-miR-223-3p","16193, 21405, 64898, 94246"
"hsa-miR-23a-3p","13046"
"hsa-miR-24-3p","18550"
"hsa-miR-27a-3p","17700"
"hsa-miR-29a-3p","10000"
"hsa-miR-29b-3p","17388, 17391"
"hsa-miR-29c-3p","13038, 17388, 17391"
"hsa-miR-30a-3p","14265"
"hsa-miR-30a-5p","20613"
"hsa-miR-30b-5p","20613"
"hsa-miR-30c-5p","20613"
"hsa-miR-30d-5p","20613"
"hsa-miR-30e-5p","20613"
"hsa-miR-320a","67065"
"hsa-miR-335-5p","208846"
"hsa-miR-33a-5p","18195"
"hsa-miR-34c-5p","12043, 24051"
"hsa-miR-374a-5p","12608"
"hsa-miR-455-3p","11481, 17126, 83453"
"hsa-miR-483-3p","52530, 68612"
"hsa-miR-503-5p","8792"
"hsa-miR-558","5743"
"hsa-miR-672","12034"
"hsa-miR-7-5p","15201"
"hsa-miR-9-5p","283659"
"hsa-miR-92a-3p","7157, 76563"
"hsa-miR-93-5p","170574"
"mmu-let-7a-5p","91, 3569, 11941, 15364, 15405, 15975, 16163, 17536, 18016, 18016, 23805, 23805, 23805, 56094, 56094, 72635, 72667, 76626, 83557, 83557, 101358, 213402, 213402, 227720, 237107, 237107, 244237, 636931, 100039028, 100039206"
"mmu-let-7b-5p","91, 11307, 11479, 11551, 11651, 11739, 11838, 11938, 11941, 11941, 11966, 12013, 12055, 12142, 12166, 12215, 12215, 12290, 12336, 12349, 12359, 12419, 12443, 12793, 12801, 12827, 12916, 12928, 12995, 13030, 13199, 13405, 13418, 13427, 13557, 13666, 13688, 13690, 13821, 13838, 13845, 14348, 14399, 14401, 14415, 14489, 14536, 14680, 14800, 14806, 15412, 15460, 15975, 16001, 16151, 16401, 
16485, 16502, 16513, 16549, 16560, 16565, 16581, 16646, 16848, 16923, 17428, 17536, 17764, 17765, 17776, 18016, 18016, 18016, 18073, 18099, 18176, 18187, 18399, 18596, 18700, 18807, 19058, 19215, 19252, 19266, 19273, 19289, 19684, 19878, 20185, 20273, 20355, 20403, 20482, 20515, 20527, 20743, 20847, 20848, 20866, 20908, 21367, 21812, 21814, 21825, 21835, 21907, 22141, 22153, 22750, 23805, 
23805, 23805, 23964, 24136, 26456, 26556, 26950, 27204, 27274, 27416, 29806, 29877, 50768, 52397, 53328, 53420, 53599, 53623, 54197, 54338, 54418, 54644, 54650, 56013, 56094, 56094, 56309, 56380, 56403, 56531, 56695, 56710, 56741, 56869, 57257, 57738, 57908, 58180, 58523, 59033, 59046, 60364, 64453, 64945, 66356, 66756, 66923, 66972, 67120, 67333, 67338, 67374, 67433, 67579, 67603, 67727, 
67812, 67843, 67912, 68187, 68465, 68744, 68796, 68926, 68955, 69178, 69482, 69524, 69587, 69605, 69675, 70325, 70510, 70579, 70605, 70747, 70930, 70984, 70999, 71238, 71279, 71752, 71803, 72549, 72590, 72635, 72640, 72667, 72720, 73102, 73130, 73225, 73419, 74100, 74136, 74182, 74211, 74356, 74464, 74996, 75409, 75423, 75612, 76376, 76626, 76626, 77505, 77591, 77593, 81006, 83398, 83493, 
83921, 83925, 94088, 98417, 98711, 100855, 100978, 101358, 102857, 103554, 103967, 104015, 105171, 105239, 106042, 107173, 108899, 109151, 109359, 109624, 109880, 110265, 110891, 112406, 116940, 170749, 170826, 192176, 207474, 207785, 208777, 209131, 210035, 210162, 212391, 212555, 212919, 213011, 213402, 213402, 214150, 215090, 216238, 216438, 216505, 216742, 216825, 216848, 217378, 217410, 218543, 
218756, 219151, 223254, 223827, 224014, 224613, 224617, 225028, 225372, 225523, 225929, 226352, 226562, 226856, 226999, 227659, 227720, 228359, 228564, 228662, 229521, 229801, 230101, 230796, 231207, 231470, 231637, 231866, 232341, 232878, 233789, 234353, 235130, 235283, 237107, 237107, 237615, 237761, 237782, 237898, 237988, 239652, 239667, 239857, 240726, 240832, 242466, 244237, 245446, 245596, 245671, 
259302, 260302, 268345, 268451, 268515, 268890, 269233, 269473, 269704, 276846, 319448, 319586, 319924, 319955, 319984, 320472, 320790, 329178, 329679, 329828, 330286, 347722, 378702, 381157, 381560, 381626, 381820, 385674, 544752, 622320, 664883, 672511, 100039028, 100039206"
"mmu-let-7c-5p","2146, 11941, 15975, 17536, 17869, 17869, 18016, 18016, 18109, 23805, 23805, 23805, 56094, 56094, 72635, 72667, 76626, 83557, 99377, 101358, 213402, 213402, 227720, 237107, 237107, 244237, 100039028, 100039206"
"mmu-let-7d-5p","11941, 13490, 15975, 17536, 18016, 18016, 23805, 23805, 23805, 56094, 56094, 72635, 72667, 76626, 101358, 213402, 213402, 227720, 237107, 237107, 244237, 100039028, 100039206"
"mmu-let-7e-5p","11941, 15975, 16153, 16163, 17536, 18016, 18016, 21898, 23805, 23805, 23805, 56094, 56094, 72635, 72667, 76626, 101358, 213402, 213402, 227720, 237107, 237107, 244237, 636931, 100039028, 100039206"
"mmu-let-7f-5p","11941, 15975, 17536, 18016, 18016, 23805, 23805, 23805, 56094, 56094, 72635, 72667, 76626, 101358, 213402, 213402, 227720, 237107, 237107, 244237, 100039028, 100039206"
"mmu-let-7g-5p","11941, 15975, 17536, 18016, 18016, 23805, 23805, 23805, 56094, 56094, 72635, 72667, 76626, 101358, 213402, 213402, 227720, 237107, 237107, 244237, 100039028, 100039206"
"mmu-let-7i-5p","11941, 15975, 17536, 18016, 18016, 23805, 23805, 23805, 56094, 56094, 72635, 72667, 76626, 101358, 213402, 213402, 227720, 237107, 237107, 244237, 100039028, 100039206"
"mmu-miR-100-5p","12845, 14807, 70484, 75302"
"mmu-miR-101a-3p","11651, 12217, 12606, 12663, 13589, 15251, 17709, 19225, 19245, 19252, 20238, 29877, 54167, 67035, 67035, 67230, 70560, 72605, 72605, 76626, 108105, 207819, 214742, 245877, 260409, 269473, 382034, 666938"
"mmu-miR-101b-3p","12217, 12606, 12663, 13589, 15251, 19245, 20238, 20855, 29877, 67035, 67035, 67230, 70560, 72605, 72605, 76626, 108105, 207819, 214742, 245877, 260409, 269473, 382034, 666938"
"mmu-miR-101c","12663, 13828, 17218, 24116, 66816, 67035, 67035, 73225, 76421, 76421, 217122, 224090, 226610, 226610, 226610, 226610, 226610, 228033"
"mmu-miR-103-3p","16593, 16593, 17764, 18015, 18708, 56381, 66274, 68737, 70549, 71147, 71755, 71755, 210146, 210146, 210146, 210146, 226139, 234733, 270669"
"mmu-miR-105","11352, 11610, 11610, 11610, 12212, 12326, 13614, 13709, 14417, 14816, 15043, 15586, 15980, 16573, 16956, 17199, 17527, 18021, 18117, 18166, 18293, 18704, 18816, 19054, 19070, 19270, 20538, 20913, 21367, 26404, 50505, 50789, 50883, 52717, 54004, 54486, 56066, 56078, 66866, 67075, 67620, 67630, 69367, 69786, 69860, 70802, 72431, 74549, 75302, 75739, 76178, 76178, 76178, 76178, 76784, 77593, 
77697, 94253, 108015, 110446, 110532, 112415, 192196, 192196, 192196, 192196, 192289, 213054, 215690, 216119, 217169, 217303, 217431, 226525, 235582, 242474, 243905, 245474, 246735, 319974, 319974, 320209, 320492, 330788, 382019, 384309"
