"mirtarbase","wptargets"
"mmu-let-7a-5p","WP222, WP2841, WP310, WP3632, WP447, WP454, WP523, WP553"
"mmu-let-7b-5p","WP10, WP108, WP113, WP1243, WP1244, WP1246, WP1249, WP1251, WP1253, WP1254, WP1256, WP1259, WP1261, WP1263, WP1266, WP1270, WP1272, WP1273, WP1396, WP1397, WP1398, WP1498, WP151, WP1560, WP157, WP1763, WP1770, WP189, WP193, WP1983, WP2067, WP2075, WP2087, WP2140, WP2141, WP216, WP2292, WP232, WP238, WP240, WP2432, WP246, WP251, WP2573, WP265, WP273, WP2841, WP2852, WP29, WP2902, WP2910, WP295, 
WP297, WP298, WP307, WP310, WP318, WP339, WP350, WP353, WP3625, WP3626, WP3632, WP3638, WP3675, WP37, WP373, WP374, WP385, WP3855, WP387, WP3979, WP403, WP407, WP41, WP412, WP413, WP431, WP441, WP447, WP450, WP454, WP458, WP488, WP493, WP509, WP512, WP522, WP523, WP539, WP544, WP553, WP57, WP570, WP572, WP578, WP6, WP65, WP683, WP723, WP79, WP85, WP88"
"mmu-let-7c-5p","WP1254, WP1261, WP1763, WP2432, WP2841, WP310, WP339, WP350, WP3979, WP403, WP413, WP454, WP493, WP523, WP553, WP572, WP723"
"mmu-let-7d-5p","WP1396, WP189, WP2841, WP310, WP454, WP523, WP553, WP570"
"mmu-let-7e-5p","WP113, WP1266, WP193, WP222, WP2316, WP238, WP2432, WP2573, WP2841, WP2902, WP310, WP336, WP3592, WP3632, WP3855, WP447, WP454, WP458, WP523, WP553, WP6, WP85, WP88"
"mmu-let-7f-5p","WP2841, WP310, WP454, WP523, WP553"
"mmu-let-7g-5p","WP2841, WP310, WP454, WP523, WP553"
"mmu-let-7i-5p","WP1266, WP1596, WP222, WP2432, WP2841, WP310, WP3632, WP385, WP3855, WP387, WP447, WP454, WP458, WP523, WP553, WP85"
"mmu-miR-100-3p","WP310"
"mmu-miR-100-5p","WP2841"
"mmu-miR-101a-3p","WP10, WP1244, WP1249, WP1254, WP1270, WP1272, WP1396, WP1498, WP151, WP1560, WP1763, WP189, WP2292, WP246, WP2573, WP265, WP2841, WP2872, WP295, WP297, WP310, WP318, WP339, WP3675, WP37, WP373, WP374, WP385, WP387, WP407, WP447, WP450, WP488, WP493, WP539, WP57, WP572, WP578, WP6, WP65, WP85"
"mmu-miR-101b-3p","WP1763, WP2841, WP2872, WP310, WP447, WP572, WP65, WP683"
"mmu-miR-101c","WP1248, WP150, WP246, WP295, WP413"
"mmu-miR-103-3p","WP10, WP1254, WP151, WP1560, WP2292, WP265, WP2841, WP2910, WP295, WP297, WP310, WP3626, WP373, WP3855, WP387, WP407, WP450, WP488, WP493, WP523, WP572, WP65, WP85"
"mmu-miR-105","WP1, WP1246, WP1253, WP1259, WP1263, WP1266, WP1269, WP1396, WP1560, WP1770, WP189, WP2067, WP2075, WP2087, WP2141, WP2292, WP2316, WP234, WP240, WP246, WP251, WP2841, WP2902, WP327, WP3626, WP3632, WP374, WP386, WP41, WP434, WP447, WP449, WP460, WP493, WP522, WP523, WP543, WP553, WP65, WP662, WP79"
"mmu-miR-106a-5p","WP10, WP113, WP1249, WP1270, WP1498, WP151, WP1560, WP1763, WP193, WP202, WP2067, WP2074, WP2075, WP2292, WP265, WP2841, WP2910, WP297, WP339, WP3673, WP37, WP373, WP3864, WP387, WP407, WP434, WP441, WP447, WP450, WP458, WP493, WP512, WP572, WP578, WP85, WP88"
"mmu-miR-106b-5p","WP10, WP113, WP1244, WP1249, WP1254, WP1270, WP1498, WP151, WP1560, WP1763, WP193, WP2067, WP2074, WP2292, WP251, WP265, WP2872, WP2910, WP297, WP339, WP350, WP3638, WP3663, WP3673, WP373, WP3855, WP387, WP407, WP412, WP434, WP441, WP447, WP450, WP458, WP493, WP512, WP544, WP572, WP578, WP65, WP88"
"mmu-miR-107-3p","WP1763, WP2087, WP265, WP2841, WP2902, WP295, WP310, WP413, WP447"
"mmu-miR-10a-3p","WP1244, WP1246, WP1263, WP1266, WP1763, WP2087, WP2841, WP2872, WP2910, WP350, WP373, WP385, WP447, WP450, WP572"
"mmu-miR-10a-5p","WP103, WP113, WP1244, WP1251, WP1254, WP1263, WP1270, WP1396, WP1397, WP150, WP151, WP1560, WP157, WP166, WP1763, WP189, WP193, WP207, WP2074, WP2075, WP2084, WP2087, WP2140, WP2141, WP2185, WP2271, WP2292, WP2316, WP232, WP2432, WP246, WP2841, WP2872, WP2902, WP297, WP310, WP317, WP339, WP3625, WP3626, WP3638, WP37, WP373, WP385, WP3855, WP407, WP413, WP431, WP441, WP447, WP450, WP454, WP493, 
WP509, WP523, WP553, WP567, WP570, WP571, WP572, WP6, WP65, WP662, WP85, WP88"
"mmu-miR-10b-5p","WP103, WP113, WP1244, WP1251, WP1254, WP1261, WP1263, WP1270, WP1396, WP1397, WP1496, WP150, WP151, WP1560, WP157, WP166, WP1763, WP189, WP193, WP207, WP2075, WP2084, WP2087, WP2140, WP2141, WP2185, WP2271, WP2292, WP2316, WP232, WP2432, WP246, WP2573, WP2841, WP2872, WP2902, WP297, WP310, WP317, WP339, WP3625, WP3626, WP3638, WP37, WP373, WP385, WP3855, WP407, WP413, WP431, WP441, WP447, WP450, 
WP454, WP488, WP493, WP509, WP523, WP553, WP567, WP570, WP571, WP572, WP6, WP65, WP662, WP85, WP88"
"mmu-miR-1186a","WP1, WP1246, WP1259, WP1263, WP1266, WP1269, WP1396, WP151, WP1763, WP1770, WP189, WP2067, WP2075, WP2087, WP2141, WP216, WP222, WP2292, WP2316, WP232, WP234, WP240, WP246, WP2573, WP2841, WP2902, WP295, WP310, WP327, WP3638, WP373, WP386, WP407, WP41, WP431, WP434, WP447, WP454, WP493, WP522, WP543, WP553, WP6, WP65, WP662, WP79, WP85"
"mmu-miR-1186b","WP1246, WP1261, WP1263, WP1269, WP1270, WP1396, WP151, WP1763, WP189, WP1983, WP2067, WP2087, WP216, WP2185, WP2292, WP232, WP234, WP246, WP2573, WP265, WP2841, WP2902, WP2910, WP310, WP3626, WP3638, WP373, WP407, WP431, WP447, WP449, WP493, WP523, WP539, WP543, WP553, WP65, WP79"
"mmu-miR-1187","WP113, WP116, WP1241, WP1244, WP1253, WP1254, WP1263, WP1270, WP1396, WP1397, WP1496, WP151, WP1560, WP166, WP1763, WP189, WP2075, WP2087, WP2185, WP2292, WP2316, WP232, WP234, WP2432, WP246, WP273, WP2841, WP2902, WP295, WP307, WP310, WP339, WP373, WP385, WP3855, WP387, WP403, WP41, WP413, WP431, WP447, WP450, WP456, WP458, WP488, WP493, WP509, WP553, WP567, WP57, WP570, WP571, WP572, WP65, 
WP723, WP85, WP88"
"mmu-miR-1188-5p","WP1254, WP1397, WP157, WP2292, WP297, WP3632, WP373, WP3855, WP572, WP65"
"mmu-miR-1190","WP157, WP2573, WP2841, WP6, WP85"
"mmu-miR-1191a","WP1246, WP1254, WP1263, WP553"
"mmu-miR-1192","WP1241, WP1244, WP1245, WP1254, WP1256, WP1261, WP1263, WP1270, WP1396, WP1397, WP1398, WP1496, WP151, WP1560, WP157, WP163, WP1763, WP1770, WP189, WP1983, WP2067, WP207, WP2074, WP2075, WP2084, WP2087, WP2140, WP2141, WP2185, WP2292, WP232, WP246, WP251, WP2573, WP265, WP273, WP2841, WP2910, WP2928, WP295, WP297, WP298, WP310, WP317, WP339, WP350, WP3625, WP3632, WP373, WP385, WP3855, WP3857, 
WP387, WP403, WP412, WP413, WP447, WP449, WP450, WP460, WP493, WP523, WP539, WP553, WP567, WP570, WP571, WP572, WP65, WP662, WP723, WP85"
"mmu-miR-1193-3p","WP3626, WP385, WP553"
"mmu-miR-1194","WP1244, WP1251, WP1254, WP1396, WP1496, WP189, WP207, WP234, WP273, WP2841, WP310, WP449, WP567"
"mmu-miR-1195","WP1, WP10, WP113, WP1244, WP1246, WP1247, WP1249, WP1251, WP1253, WP1254, WP1263, WP1266, WP1270, WP1396, WP1397, WP150, WP151, WP157, WP163, WP166, WP1763, WP1770, WP189, WP2067, WP207, WP2074, WP2075, WP2087, WP2185, WP2271, WP2292, WP2316, WP232, WP2432, WP246, WP2841, WP2872, WP29, WP2902, WP2910, WP295, WP297, WP307, WP310, WP339, WP350, WP3626, WP3638, WP3652, WP373, WP385, WP3857, WP387, 
WP403, WP407, WP41, WP412, WP413, WP441, WP447, WP450, WP454, WP493, WP523, WP539, WP544, WP553, WP571, WP572, WP6, WP65, WP662, WP723, WP85, WP88"
"mmu-miR-1196-5p","WP1253, WP1983, WP2573, WP2841, WP310, WP385, WP407, WP553, WP572"
"mmu-miR-1197-3p","WP1261, WP1560, WP1763, WP265, WP29, WP493, WP572, WP65"
"mmu-miR-1198-3p","WP310, WP662"
"mmu-miR-1198-5p","WP113, WP116, WP1241, WP1244, WP1249, WP1253, WP1254, WP1263, WP1270, WP1396, WP1397, WP151, WP166, WP1763, WP189, WP2075, WP2087, WP2185, WP2292, WP232, WP2432, WP246, WP273, WP2841, WP2902, WP295, WP310, WP339, WP3675, WP373, WP385, WP387, WP403, WP431, WP434, WP447, WP458, WP488, WP493, WP509, WP553, WP567, WP570, WP571, WP572, WP578, WP65, WP723, WP88"
"mmu-miR-1199-5p","WP113, WP1244, WP1246, WP1251, WP1254, WP1263, WP1266, WP1396, WP1397, WP150, WP1560, WP163, WP166, WP1763, WP189, WP193, WP2067, WP2075, WP2087, WP2185, WP2271, WP2292, WP2316, WP232, WP246, WP2573, WP2841, WP2872, WP2902, WP2910, WP295, WP298, WP310, WP317, WP327, WP339, WP350, WP3625, WP3626, WP3675, WP373, WP385, WP387, WP407, WP41, WP413, WP441, WP447, WP450, WP454, WP488, WP493, WP523, 
WP553, WP567, WP571, WP572, WP6, WP65, WP662, WP723, WP85, WP88"
