"mirtarbase","wptargets"
"mmu-let-7a-5p","WP222, WP3632"
"mmu-let-7b-5p","WP441, WP509"
"mmu-let-7c-5p","WP1254, WP1261, WP1763, WP2432, WP339, WP350, WP3979, WP403, WP413, WP493, WP572, WP723"
"mmu-let-7d-5p","WP1396, WP189, WP570"
"mmu-let-7e-5p","WP113, WP1266, WP193, WP222, WP2316, WP238, WP2432, WP2573, WP2841, WP2902, WP336, WP3592, WP3855, WP447, WP458, WP523, WP6, WP85, WP88"
"mmu-let-7i-5p","WP1266, WP1596, WP222, WP2432, WP2841, WP3632, WP385, WP3855, WP387, WP447, WP458, WP85"
"mmu-miR-101a-3p","WP10, WP1244, WP1249, WP1254, WP1270, WP1272, WP1396, WP1498, WP151, WP1560, WP1763, WP189, WP2292, WP246, WP2573, WP265, WP2841, WP295, WP297, WP310, WP318, WP339, WP3675, WP37, WP373, WP374, WP385, WP387, WP407, WP450, WP488, WP493, WP539, WP57, WP572, WP578, WP6, WP65, WP85"
"mmu-miR-101b-3p","WP2841, WP310, WP65, WP683"
"mmu-miR-103-3p","WP2910, WP493"
"mmu-miR-106a-5p","WP10, WP113, WP1249, WP1270, WP1498, WP151, WP1560, WP1763, WP193, WP202, WP2067, WP2075, WP2292, WP265, WP2841, WP297, WP339, WP37, WP373, WP3864, WP387, WP407, WP447, WP450, WP512, WP572, WP578, WP85"
"mmu-miR-106b-5p","WP10, WP113, WP1244, WP1249, WP1254, WP1498, WP151, WP1560, WP1763, WP193, WP2292, WP251, WP265, WP2872, WP297, WP339, WP350, WP3638, WP3663, WP373, WP3855, WP387, WP407, WP412, WP447, WP450, WP493, WP512, WP544, WP572, WP578, WP65, WP88"
"mmu-miR-107-3p","WP1763, WP2087, WP2841, WP2902, WP413, WP447"
"mmu-miR-10a-3p","WP1244, WP1246, WP1263, WP1266, WP1763, WP2087, WP2841, WP2872, WP2910, WP350, WP373, WP385, WP447, WP450, WP572"
"mmu-miR-10a-5p","WP1244, WP1254, WP1270, WP1397, WP1560, WP1763, WP189, WP2074, WP2872, WP297, WP373, WP3855, WP6"
"mmu-miR-122-5p","WP113, WP1254, WP1261, WP1266, WP1270, WP1498, WP151, WP1560, WP157, WP1596, WP1763, WP1770, WP2087, WP2185, WP2432, WP246, WP2910, WP339, WP350, WP3625, WP3638, WP3673, WP3979, WP403, WP413, WP434, WP447, WP493, WP522, WP572, WP662, WP723, WP79"
"mmu-miR-124-3p","WP10, WP108, WP113, WP1243, WP1244, WP1249, WP1254, WP1266, WP1269, WP1270, WP1496, WP1498, WP151, WP1560, WP166, WP1763, WP193, WP1983, WP2067, WP2074, WP2292, WP2432, WP246, WP251, WP2573, WP265, WP2841, WP2872, WP29, WP2910, WP297, WP298, WP310, WP339, WP350, WP3592, WP3638, WP3675, WP37, WP373, WP385, WP387, WP3991, WP407, WP412, WP447, WP450, WP458, WP488, WP493, WP512, WP523, WP539, WP572, 
WP578, WP6, WP65, WP85, WP88"
"mmu-miR-124-5p","WP1270, WP1498, WP1526, WP1763, WP2067, WP2074, WP2316, WP2432, WP265, WP2841, WP2852, WP29, WP310, WP339, WP447, WP523, WP539, WP723"
"mmu-miR-125a-5p","WP10, WP113, WP1243, WP1249, WP1253, WP1496, WP1498, WP151, WP1560, WP1763, WP193, WP202, WP222, WP2292, WP2432, WP246, WP265, WP2841, WP297, WP310, WP317, WP339, WP3592, WP3632, WP37, WP373, WP387, WP407, WP447, WP450, WP458, WP493, WP519, WP539, WP572, WP578, WP723, WP88"
"mmu-miR-125b-1-3p","WP1244, WP2067, WP310, WP493, WP509, WP65"
"mmu-miR-125b-2-3p","WP297, WP307, WP512"
