"mirtarbase","hits"
"mmu-let-7a-5p","15405, 15364, 15364, 16163, 636931, 83557, 83557, 91, 3569, 18016, 18016, 237107, 237107, 56094, 56094, 23805, 23805, 23805, 76626, 101358, 72635, 100039206, 100039028, 213402, 213402, 17536, 72667, 227720, 11941, 244237, 15975, 15361"
"mmu-let-7b-5p","14489, 12215, 12215, 71279, 215090, 18807, 77591, 219151, 226352, 56869, 66756, 227659, 26556, 22750, 56013, 16848, 74356, 13557, 544752, 268890, 109624, 13666, 112406, 71752, 240832, 14415, 16646, 12142, 237615, 71803, 76626, 76626, 54644, 75612, 268345, 20527, 231637, 664883, 20273, 260302, 242466, 12827, 67579, 26456, 67727, 19252, 240726, 319448, 94088, 19289, 231470, 110265, 75409, 15412, 
67843, 108899, 24136, 56531, 329178, 14401, 66923, 20403, 224617, 224613, 233789, 16581, 58523, 319984, 12349, 22153, 13688, 11551, 72549, 237988, 16151, 12801, 226999, 70325, 76376, 231866, 381626, 100855, 11941, 11941, 54338, 320472, 57738, 73419, 269704, 225929, 16401, 67374, 19058, 19273, 71238, 170749, 13845, 27204, 268515, 208777, 224014, 29877, 12928, 109151, 69605, 73130, 239667, 237782, 
53599, 218756, 70579, 259302, 14348, 217410, 319924, 75423, 67120, 60364, 110891, 73225, 13199, 237898, 192176, 216505, 53328, 11479, 329679, 59046, 67912, 68465, 320790, 212391, 14399, 13418, 13838, 209131, 19266, 622320, 381560, 170826, 319955, 381157, 56741, 228564, 74211, 237761, 213011, 70984, 385674, 232341, 212919, 18016, 18016, 18016, 381820, 319586, 67338, 29806, 11651, 11966, 19215, 
20185, 16560, 83493, 17776, 105171, 83925, 106042, 69482, 216848, 230796, 54418, 20743, 19878, 77593, 109880, 77505, 74100, 12443, 59033, 20866, 12359, 104015, 239857, 66356, 229801, 107173, 100978, 207785, 18073, 14680, 18399, 13821, 13030, 68744, 16502, 98711, 67812, 672511, 72590, 18187, 17428, 235283, 12290, 72640, 18700, 329828, 23964, 18099, 225523, 26950, 207474, 16001, 14806, 11307, 
57908, 216238, 70510, 67433, 72720, 13405, 218543, 347722, 74136, 12419, 378702, 69675, 56380, 214150, 16549, 73102, 11938, 210035, 17765, 19684, 27416, 74464, 64945, 216742, 18176, 21812, 21814, 12013, 225372, 21907, 226562, 102857, 276846, 228359, 230101, 12166, 53623, 12336, 53420, 14800, 98417, 68926, 210162, 20847, 56710, 216825, 12793, 109359, 103967, 13427, 21367, 70930, 232878, 103554, 
16513, 67333, 18596, 22141, 69524, 81006, 70999, 16485, 67603, 217378, 66972, 70747, 70605, 16923, 245446, 17764, 68955, 12916, 245671, 56403, 116940, 20848, 11838, 15460, 56695, 239652, 11739, 330286, 269233, 57257, 68796, 13690, 268451, 64453, 12995, 16565, 74182, 69178, 21835, 74996, 83398, 50768, 229521, 228662, 223254, 20515, 27274, 234353, 54650, 105239, 216438, 21825, 69587, 68187, 12055, 
56309, 223827, 226856, 52397, 54197, 245596, 231207, 212555, 20355, 58180, 235130, 83921, 20908, 14536, 269473, 20482, 225028, 91, 237107, 237107, 56094, 56094, 23805, 23805, 23805, 101358, 72635, 100039206, 100039028, 213402, 213402, 17536, 72667, 227720, 244237, 15975"
"mmu-let-7c-5p","99377, 17869, 17869, 18109, 83557, 2146, 18016, 18016, 237107, 237107, 56094, 56094, 23805, 23805, 23805, 76626, 101358, 72635, 100039206, 100039028, 213402, 213402, 17536, 72667, 227720, 11941, 244237, 15975"
"mmu-let-7d-5p","13490, 18016, 18016, 237107, 237107, 56094, 56094, 23805, 23805, 23805, 76626, 101358, 72635, 100039206, 100039028, 213402, 213402, 17536, 72667, 227720, 11941, 244237, 15975"
"mmu-let-7e-5p","21898, 636931, 16163, 16153, 18016, 18016, 237107, 237107, 56094, 56094, 23805, 23805, 23805, 76626, 101358, 72635, 100039206, 100039028, 213402, 213402, 17536, 72667, 227720, 11941, 244237, 15975, 373864, 12842, 12843, 12825, 71355, 109700, 16401, 20249, 21825"
"mmu-let-7f-5p","18016, 18016, 237107, 237107, 56094, 56094, 23805, 23805, 23805, 76626, 101358, 72635, 100039206, 100039028, 213402, 213402, 17536, 72667, 227720, 11941, 244237, 15975"
"mmu-let-7g-5p","18016, 18016, 237107, 237107, 56094, 56094, 23805, 23805, 23805, 76626, 101358, 72635, 100039206, 100039028, 213402, 213402, 17536, 72667, 227720, 11941, 244237, 15975"
"mmu-let-7i-5p","18016, 18016, 237107, 237107, 56094, 56094, 23805, 23805, 23805, 76626, 101358, 72635, 100039206, 100039028, 213402, 213402, 17536, 72667, 227720, 11941, 244237, 15975, 16193, 12843"
"mmu-miR-100-3p","218543"
"mmu-miR-100-5p","14807, 12845, 70484, 75302"
"mmu-miR-101a-3p","19225, 20238, 54167, 17709, 19252, 11651, 245877, 214742, 76626, 13589, 29877, 382034, 72605, 72605, 12217, 67230, 12663, 15251, 260409, 666938, 70560, 67035, 67035, 12606, 108105, 269473, 207819, 19245, 12778, 18012"
"mmu-miR-101b-3p","20855, 20238, 245877, 214742, 76626, 13589, 29877, 382034, 72605, 72605, 12217, 67230, 12663, 15251, 260409, 666938, 70560, 67035, 67035, 12606, 108105, 269473, 207819, 19245, 105787, 4513"
"mmu-miR-101c","226610, 226610, 226610, 226610, 226610, 12663, 228033, 67035, 67035, 76421, 76421, 24116, 217122, 13828, 73225, 224090, 66816, 17218"
"mmu-miR-103-3p","18015, 18708, 210146, 210146, 210146, 210146, 71755, 71755, 70549, 270669, 226139, 17764, 16593, 16593, 234733, 68737, 56381, 66274, 71147"
"mmu-miR-105","72431, 11610, 11610, 11610, 76178, 76178, 76178, 76178, 66866, 18021, 69860, 319974, 319974, 243905, 226525, 19270, 192196, 192196, 192196, 192196, 18816, 13614, 382019, 330788, 77593, 69786, 20913, 19054, 18704, 18166, 217431, 76784, 19070, 17199, 74549, 67075, 16956, 15980, 54486, 235582, 69367, 54004, 242474, 50883, 56078, 246735, 52717, 110532, 110446, 320492, 384309, 217169, 67630, 14417, 
213054, 13709, 21367, 11352, 216119, 192289, 18293, 215690, 75739, 67620, 15586, 94253, 15043, 14816, 50789, 50505, 245474, 108015, 12326, 75302, 12212, 70802, 16573, 56066, 26404, 112415, 20538, 17527, 320209, 18117, 217303, 77697"
"mmu-miR-106a-5p","20848, 15259, 218203, 94246, 18412, 15251, 22339, 75729, 75729, 226470, 382051, 240055, 83814, 225876, 12487, 12487, 20451, 15901, 18526, 244416, 19244, 21761, 21858, 17260, 244049, 67529, 73158, 76850, 217379, 16155, 12168, 266632, 11820"
