"mirtarbase","hits"
"hsa-miR-1-3p","7054"
"hsa-miR-103a-3p","12447, 12566, 12912"
"hsa-miR-125a-5p","16848"
"hsa-miR-125b-5p","12018, 21685, 235472"
"hsa-miR-126-3p","227634"
"hsa-miR-132-3p","17257"
"hsa-miR-140-5p","13654"
"hsa-miR-142-3p","73178"
"hsa-miR-146a-5p","13869"
"hsa-miR-146b-5p","105844"
"hsa-miR-155-5p","11865, 12608, 12978, 13047, 15251, 16331, 16468, 20375, 20491, 233489"
"hsa-miR-17-5p","12043, 16452, 20850, 21813"
"hsa-miR-181c-5p","21926"
"hsa-miR-18a-5p","17126, 17128"
"hsa-miR-190b","219135"
"hsa-miR-200b-3p","23512"
"hsa-miR-200c-3p","19699, 22359"
"hsa-miR-205-5p","2104"
"hsa-miR-206","72948"
"hsa-miR-20a-5p","19091, 21813"
"hsa-miR-21-5p","19211, 53614"
"hsa-miR-22-3p","18295"
"hsa-miR-223-3p","16193, 64898, 94246"
"hsa-miR-23a-3p","13046"
"hsa-miR-24-3p","18550"
"hsa-miR-27a-3p","17700"
"hsa-miR-29a-3p","10000"
"hsa-miR-29b-3p","17388, 17391"
"hsa-miR-29c-3p","13038, 17388, 17391"
"hsa-miR-30a-3p","14265"
"hsa-miR-30a-5p","20613"
"hsa-miR-30b-5p","20613"
"hsa-miR-30c-5p","20613"
"hsa-miR-30d-5p","20613"
"hsa-miR-30e-5p","20613"
"hsa-miR-320a","67065"
"hsa-miR-335-5p","208846"
"hsa-miR-33a-5p","18195"
"hsa-miR-34c-5p","12043, 24051"
"hsa-miR-374a-5p","12608"
"hsa-miR-483-3p","52530, 68612"
"hsa-miR-503-5p","8792"
"hsa-miR-558","5743"
"hsa-miR-672","12034"
"hsa-miR-7-5p","15201"
"hsa-miR-9-5p","283659"
"hsa-miR-92a-3p","7157, 76563"
"hsa-miR-93-5p","170574"
"mmu-let-7a-5p","91, 3569, 15364, 15405, 16163, 83557, 636931"
"mmu-let-7b-5p","91, 12215, 14489, 21907"
"mmu-let-7c-5p","2146, 17869, 17869, 18109, 83557, 99377"
"mmu-let-7d-5p","13490"
"mmu-let-7e-5p","16153, 21898, 636931"
"mmu-miR-101a-3p","11651, 17709, 19225, 19252, 20238"
"mmu-miR-101b-3p","20238, 20855"
"mmu-miR-103-3p","18015"
"mmu-miR-106a-5p","15251, 15259, 18412, 20848, 22339, 94246, 218203"
"mmu-miR-106b-5p","8408, 12125, 20848, 20848, 26416"
"mmu-miR-107-3p","15251"
"mmu-miR-10a-5p","12125, 16600, 208727"
"mmu-miR-10b-5p","15430"
"mmu-miR-122-5p","11647, 11674, 11674, 11674, 11674, 11674, 11987, 12041, 12457, 12974, 13195, 13555, 15216, 18746, 19126, 20677, 21812, 23849, 29812, 29812, 50708, 54219, 54720, 56209, 66111, 66111, 67305, 67843, 67843, 69585, 69585, 69585, 77975, 83797, 100532, 104175, 211586, 238055, 241447"
"mmu-miR-124-3p","12064, 12428, 12540, 12606, 12606, 13392, 13395, 13395, 13852, 14489, 14595, 15376, 16412, 16412, 16449, 17874, 18033, 19027, 19205, 19205, 19248, 20682, 20848, 22034, 22319, 26416, 26416, 26433, 52468, 53599, 56195, 71943, 73385, 76893, 99889, 110784, 217718, 218503, 226519, 227292, 227292, 227292, 231086, 244152"
"mmu-miR-125a-5p","19045, 19052, 19253, 22034, 52609, 74048, 320139"
"mmu-miR-125b-1-3p","18091, 20807, 192159"
"mmu-miR-125b-5p","12018, 12400, 16002, 16475, 16476, 16478, 19045, 20479, 20613, 20848, 20937, 21926, 23992, 26400, 74048, 83557, 83557, 83557, 319757"
"mmu-miR-126a-3p","12394, 15405, 16367, 18709, 18709, 20375, 21349, 114715"
"mmu-miR-126a-5p","11658, 12394, 20375, 21349, 476542"
"mmu-miR-127-3p","14129"
"mmu-miR-128-3p","5465, 12394, 18015, 18505, 108655"
"mmu-miR-130a-3p","17286, 20238, 22762"
"mmu-miR-130b-3p","17286, 21803"
"mmu-miR-132-3p","11423, 12227, 17257, 17395, 18227, 56195, 56484, 67869, 214899, 328572, 330914"
"mmu-miR-133a-3p","11512, 11554, 11848, 11848, 12371, 12393, 12393, 12444, 12540, 12540, 16001, 16533, 18749, 20807, 22228, 24116, 70673, 73181, 223864"
"mmu-miR-133b-3p","18742, 26927, 56195"
"mmu-miR-134-5p","12912, 13193, 14082, 14681, 16885, 20674, 26424, 71950, 80913, 83453"
"mmu-miR-135a-5p","17129, 110784"
"mmu-miR-135b-5p","16177"
"mmu-miR-137-3p","12355, 14056, 18015, 21386"
"mmu-miR-138-5p","13654, 16476, 20674, 22059, 93759, 216850"
"mmu-miR-139-5p","56458"
"mmu-miR-140-5p","11893, 17127, 20315, 208727, 208727"
"mmu-miR-141-3p","12552, 13395, 18674, 21417, 21417, 24136, 26416"
"mmu-miR-142a-3p","11515, 11865, 11865, 16179, 16195"
"mmu-miR-143-3p","13003, 13712, 16011, 16653, 18754, 19242, 68750"
"mmu-miR-144-3p","11303, 11303, 12283, 105787, 320981"
"mmu-miR-145a-5p","11479, 12224, 12444, 15405, 16367, 16600, 16600, 16653, 18754, 20682, 56458, 68750, 108058, 170574"
"mmu-miR-146a-5p","3654, 15978, 16179, 16179, 16179, 16179, 17755, 18126, 18128, 19014, 19698, 20846, 22034, 22034, 22034, 22034, 26994, 108960"
"mmu-miR-146b-5p","18033, 93759"
"mmu-miR-148a-3p","12322, 13433, 19877, 216850"
"mmu-miR-148b-3p","12322, 13433"
"mmu-miR-150-5p","12402, 13654, 17863, 17863, 17874, 18591, 19017, 22339, 70673"
"mmu-miR-152-3p","12322, 13433"
"mmu-miR-153-3p","21386"
"mmu-miR-155-5p","1154, 11628, 11848, 12608, 12703, 12703, 12703, 12703, 12737, 14082, 14082, 14178, 14245, 14281, 16331, 16331, 16331, 16331, 17132, 18611, 19744, 19766, 20375, 22259, 52588, 56489, 56637, 58801, 58801, 60599, 68652, 170786, 208727"
"mmu-miR-15a-5p","12043, 12043, 12443, 12443, 13717, 14173, 21939, 22339, 22416, 54725, 72949"
"mmu-miR-15b-5p","12050, 21945, 56327"
"mmu-miR-16-5p","11820, 12043, 12043, 12050, 12443, 12443, 12447, 12447, 14173, 15567, 16449, 16476, 17248, 21939, 22339, 22339, 22416, 54725, 56327"
"mmu-miR-17-5p","12125, 14165, 18412, 19211, 19651, 19651, 20429, 20429, 20848, 20848, 21386, 21386, 21857, 21858, 22339, 22762, 23967, 26416, 60599, 73389, 108655, 237052"
"mmu-miR-181a-5p","11480, 11798, 12043, 12515, 14465, 15396, 16175, 17257, 17702, 19736, 21375, 21473, 21810, 52609, 111336"
"mmu-miR-181b-5p","10736, 11628, 14828, 21859, 22223, 52609"
"mmu-miR-181d-5p","12394"
"mmu-miR-182-5p","21380, 50754, 56484, 224796"
"mmu-miR-183-5p","16974, 24136"
"mmu-miR-184-3p","14366, 18223, 68267"
"mmu-miR-185-5p","12387, 13003, 216850"
