"wpid","title","version","species","url","total gene count"
"WP465","Tryptophan metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP465_r85055","46"
"WP496","Steroid Biosynthesis","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP496_r69016","10"
"WP694","Arylamine metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP694_r89536","6"
"WP51","Regulation of Actin Cytoskeleton","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP51_r79977","151"
"WP2332","Interleukin-11 Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2332_r79525","44"
"WP2037","Prolactin Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2037_r90015","76"
"WP3413","NOTCH1 regulation of human endothelial cell calcification","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3413_r87953","18"
"WP3407","FTO Obesity Variant Mechanism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3407_r89858","8"
"WP707","DNA Damage Response","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP707_r82937","69"
"WP2485","NAD Biosynthesis II (from tryptophan)","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2485_r70025","8"
"WP2324","AGE/RAGE pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2324_r89798","66"
"WP2035","Follicle Stimulating Hormone (FSH) signaling pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2035_r86080","27"
"WP3933","Kennedy pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3933_r91098","13"
"WP2848","Differentiation Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2848_r89940","48"
"WP453","Inflammatory Response Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP453_r80206","33"
"WP45","G1 to S cell cycle control","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP45_r80001","68"
"WP3888","VEGFA-VEGFR2 Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3888_r90000","238"
"WP98","Prostaglandin Synthesis and Regulation","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP98_r88906","30"
"WP3634","Insulin signalling in human adipocytes (normal condition)","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3634_r86060","8"
"WP2865","IL1 and megakaryocytes in obesity","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2865_r88662","25"
"WP3613","Photodynamic therapy-induced unfolded protein response","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3613_r89330","29"
"WP3596","miR-517 relationship with ARCN1 and USP1","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP3596_r89884","5"
"WP400","p38 MAPK Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP400_r72084","34"
"WP430","Statin Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP430_r90508","33"
"WP205","IL-7 Signaling Pathway","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP205_r89854","25"
"WP2864","Apoptosis-related network due to altered Notch3 in ovarian cancer","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP2864_r79278","54"
"WP241","One Carbon Metabolism","WikiPathways_20170210","Homo sapiens","http://www.wikipathways.org/instance/WP241_r89671","30"
