miRBase ID(s)	EntrezGene ID
	4535
	4536
	4512
	4513
	4509
	4508
	4514
	4537
	4539
	4538
	4540
	4541
	4519
	55920
	100996251
	285349
	353238
	285346
	56256
	55733
	6838
	6566
	3635
	6130
	29989
hsa-mir-3972	100616188
	23569
	51702
	55888
	29943
	7584
	100874094
	10168
hsa-mir-1976	100302190
	23429
	6195
	4705
	6834
	91392
	100505676
	220108
	284798
	170506
	101926888
	7780
	84186
	116443
	100874157
	80317
	100506474
	78990
	652276
	51531
	11027
	100861549
	54937
	3805
	129607
	129642
	696
	63933
	4986
	343
	3135
	390992
	100129792
	22913
	6407
	100505625
	7726
	8455
	891
	286178
	572558
	100506144
	140689
	80380
	100288846
	138241
	101929759
	3106
	400745
	440153
	100505915
	653160
	387849
	219402
	647310
	5126
	284058
	117153
	160492
	551
	10864
	4277
	2204
	136647
	150160
	101929127
	103344932
	144203
	408186
	57621
	23509
	398
	124404
	121599
	283349
	143496
	103695436
	6358
	54936
	5542
	102723167
	101927034
	3351
	1746
	6892
	5816
	10975
	114905
	256369
	100288122
	8462
	11277
	140825
	140576
	114884
	63905
	196872
	101930100
	389376
	81327
	729013
	400569
	100506677
	1032
	3753
	388820
	102723475
	10050
	8519
	101928053
	203068
	448835
	80352
	219970
	4184
	135293
	343578
	387890
	80740
	26508
	338694
	100131096
	393046
	283375
	2995
	105369274
	144983
	102723165
	105376382
	5863
hsa-mir-320b-2	100313769
	6737
	666
	414201
hsa-mir-5689	100846998
	3841
	730811
	646603
	51122
	2649
	151056
	286967
	100132967
	378884
	81328
	102060414
	3269
	114928
	100528062
	727924
	80714
	26796
	6048
	9926
	54986
	30848
	101928944
	57619
hsa-mir-4799	100616246
hsa-mir-6082	102466953
	56977
	9153
	100033433
	92703
	653659
hsa-mir-6503	102465250
hsa-mir-6787	102465472
	1675
hsa-mir-8065	102465867
hsa-mir-6805	102465483
hsa-mir-511	574445
hsa-mir-128-2	406916
hsa-mir-4424	100616328
	595098
	9301
hsa-mir-4748	100616425
hsa-mir-5694	100847064
hsa-mir-6741	102466270
	162972
hsa-mir-5186	100847036
	3561
	84814
hsa-mir-3183	100422835
	100033428
	100133205
	7589
hsa-mir-6751	102465449
	101954275
	120103
	23552
hsa-mir-3124	100422879
hsa-mir-6823	102465494
hsa-mir-921	100126349
	767593
	767568
	692109
hsa-mir-1263	100302148
hsa-mir-514b	100422847
	51710
	100033449
hsa-mir-16-2	406951
hsa-mir-320d-2	100302169
	654322
	100033810
hsa-mir-432	574451
	677810
	677815
hsa-mir-4329	100423009
hsa-mir-6724-1	103504739
hsa-mir-6724-2	103504739
hsa-mir-6724-3	103504739
hsa-mir-6724-4	103504739
hsa-mir-3122	100422947
hsa-mir-4433b	102465833
