miRNA	target
hsa-miR-181a-5p	1848
hsa-miR-20a-5p	3091
hsa-miR-146a-5p	7852
hsa-miR-146a-5p	7852
hsa-miR-200b-3p	390
hsa-miR-328-3p	5795
hsa-miR-122-5p	1581
hsa-miR-222-3p	6776
hsa-miR-21-5p	10125
hsa-miR-21-5p	10125
hsa-miR-148a-3p	1786
hsa-miR-148a-3p	1786
hsa-miR-148a-3p	1786
hsa-miR-93-5p	94241
hsa-miR-708-5p	208
hsa-miR-708-5p	960
hsa-miR-9-5p	4322
hsa-miR-9-5p	5978
hsa-miR-9-5p	5978
hsa-miR-125a-5p	7128
hsa-miR-125b-5p	7128
hsa-miR-9-5p	999
hsa-miR-9-5p	999
hsa-miR-765	4916
hsa-miR-7-5p	6622
hsa-miR-7-5p	6622
hsa-miR-661	9112
hsa-miR-659-3p	2896
hsa-miR-562	2138
hsa-miR-559	2064
hsa-miR-548d-3p	2064
hsa-miR-532-5p	864
hsa-miR-143-3p	346389
hsa-miR-31-5p	55662
hsa-miR-31-5p	55662
hsa-miR-504-5p	1812
hsa-miR-485-3p	4916
hsa-miR-451a	4282
hsa-miR-429	9839
hsa-miR-429	9839
hsa-miR-429	9839
hsa-miR-429	9839
hsa-miR-22-3p	5763
hsa-miR-375	1678
hsa-miR-375	1678
hsa-miR-375	136319
hsa-miR-375	5163
hsa-miR-375	5163
hsa-miR-373-3p	5887
hsa-miR-372-3p	7465
hsa-miR-372-3p	7227
hsa-miR-372-3p	10150
hsa-miR-372-3p	51621
hsa-miR-211-5p	6938
hsa-miR-211-5p	79071
hsa-miR-34b-5p	596
hsa-miR-34b-5p	1385
hsa-miR-34b-5p	1385
hsa-miR-126-3p	26207
hsa-miR-126-3p	3485
hsa-miR-34a-5p	330
hsa-miR-34a-5p	2917
hsa-miR-34a-5p	2917
hsa-miR-34a-5p	182
hsa-miR-34a-5p	182
hsa-miR-346	30008
hsa-miR-346	30008
hsa-miR-204-5p	9586
hsa-miR-328-3p	23621
hsa-miR-328-3p	9429
hsa-miR-326	2735
hsa-miR-27a-3p	5077
hsa-miR-34c-5p	4851
hsa-miR-31-5p	387
hsa-miR-31-5p	387
hsa-miR-34b-3p	4851
hsa-miR-302d-3p	7227
hsa-miR-302d-3p	10150
hsa-miR-302d-3p	51621
