"name","link","genes","ghits","mhits","mthits"
"Tryptophan metabolism","http://wikipathways.org/instance/WP465","1572,1571,4129,216,316,217,15,3620,7453,847,3028,1573,1576,38,3033,66002,4967,7166,1644,125061,1543,1562,1544,1545,438,3276,8854,1892,223,224,9420,4193,1588,2639,26,11185,51366,6999,7337,23498,1718,8942,51166,64320,1553,130013","","","hsa-miR-335-5p,hsa-miR-26b-5p,hsa-miR-132-3p,hsa-miR-488-3p,hsa-miR-488-5p,hsa-miR-1,hsa-miR-16-5p,hsa-miR-615-3p,hsa-miR-92b-3p,hsa-miR-320a,hsa-miR-30b-5p,hsa-miR-155-5p,hsa-miR-30a-5p,hsa-miR-181b-5p,hsa-miR-124-3p,hsa-miR-34a-5p,hsa-miR-877-3p,hsa-miR-196b-5p,hsa-miR-92a-3p,hsa-let-7b-5p,hsa-miR-27b-3p,hsa-miR-23b-3p,hsa-miR-21-5p,hsa-miR-1260b,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-877-5p,hsa-miR-151a-3p,hsa-miR-361-5p,hsa-miR-296-3p,hsa-miR-340-5p,hsa-miR-221-3p,hsa-miR-378a-5p,hsa-miR-193b-3p,hsa-miR-10a-5p,hsa-miR-186-5p,hsa-miR-152-3p,hsa-miR-15b-5p,hsa-miR-27a-3p,hsa-miR-497-5p,hsa-miR-128-3p,hsa-miR-100-5p,hsa-miR-7-5p,hsa-miR-32-5p,hsa-miR-25-3p,hsa-miR-143-3p,hsa-miR-145-5p,hsa-miR-18b-5p,hsa-miR-605-5p,hsa-miR-504-5p,hsa-miR-484,hsa-miR-3929,hsa-let-7f-5p,hsa-miR-106a-5p,hsa-miR-19b-3p,hsa-miR-93-5p,hsa-miR-331-3p,hsa-miR-375,hsa-miR-24-3p,hsa-miR-18a-3p,hsa-miR-99a-5p,hsa-miR-103a-3p"
"Steroid Biosynthesis","http://wikipathways.org/instance/WP496","51478,3295,3294,3293,3284,3292,3283,2165,1586,1369","","","hsa-miR-335-5p,hsa-miR-155-5p,hsa-miR-484,hsa-miR-324-5p,hsa-miR-124-3p,hsa-miR-26b-5p,hsa-miR-181a-5p"
"Arylamine metabolism","http://wikipathways.org/instance/WP694","10,6799,54600,9,6817,1544,54657","","","hsa-miR-26b-5p,hsa-miR-25-3p,hsa-miR-631,hsa-let-7b-5p"
"Regulation of Actin Cytoskeleton","http://wikipathways.org/instance/WP51","10152,2147,2149,9459,55845,2335,55740,10298,1729,10297,85464,22800,5159,8396,6093,10163,5747,673,6548,81624,8874,7409,8936,8394,1793,8395,929,10092,4893,56924,5216,23533,26281,7414,2768,10672,3845,1128,1129,1073,1072,4634,4632,1132,4638,623,1131,23396,5962,624,5829,26999,57144,1445,5154,27006,5155,5156,7114,79837,9564,324,8045,5058,7429,1398,7430,4628,998,6655,5063,5894,50649,2254,2253,2252,2251,2250,7454,5062,138429,2248,2249,2246,2247,387,2245,4659,26291,87,5880,5605,5881,1133,30849,5604,2263,2264,2261,2260,54961,2259,8822,2255,2256,2257,8826,2258,5595,2909,5596,71,5597,9965,5879,6654,5594,2934,1956,1950,8074,54434,3984,6237,8817,55970,5289,22808,5287,5288,5305,60,5286,9475,4342,3672,8503,28964,5290,4478,5291,5293,10458,9138,10787,5294,5295,5296","","","hsa-miR-193b-3p,hsa-miR-331-3p,hsa-miR-375,hsa-miR-1224-5p,hsa-miR-30c-5p,hsa-miR-17-5p,hsa-miR-1,hsa-miR-16-5p,hsa-let-7b-5p,hsa-miR-9-5p,hsa-miR-877-3p,hsa-let-7a-5p,hsa-miR-877-5p,hsa-miR-200c-3p,hsa-miR-200b-3p,hsa-miR-26b-5p,hsa-miR-615-3p,hsa-miR-142-3p,hsa-miR-124-3p,hsa-miR-181a-5p,hsa-miR-21-5p,hsa-miR-93-3p,hsa-miR-191-5p,hsa-miR-196a-5p,hsa-miR-145-5p,hsa-miR-24-3p,hsa-miR-1229-3p,hsa-miR-744-5p,hsa-miR-18a-3p,hsa-miR-324-5p,hsa-let-7c-5p,hsa-miR-328-3p,hsa-miR-320a,hsa-miR-185-5p,hsa-miR-27b-3p,hsa-miR-23b-3p,hsa-miR-92a-3p,hsa-miR-18a-5p,hsa-let-7e-5p,hsa-miR-130b-5p,hsa-miR-222-3p,hsa-miR-7-5p,hsa-miR-93-5p,hsa-miR-19b-3p,hsa-miR-224-5p,hsa-miR-186-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-99b-5p,hsa-miR-146a-5p,hsa-miR-584-5p,hsa-miR-1280,hsa-miR-148b-3p,hsa-miR-34a-5p,hsa-miR-940,hsa-miR-425-5p,hsa-miR-138-5p,hsa-miR-193a-3p,hsa-miR-378a-5p,hsa-miR-122-5p,hsa-miR-106b-5p,hsa-miR-155-5p,hsa-miR-20a-5p,hsa-miR-132-3p,hsa-miR-1226-3p,hsa-miR-769-3p,hsa-miR-296-3p,hsa-miR-183-5p,hsa-miR-335-5p,hsa-miR-22-3p,hsa-miR-31-5p,hsa-miR-125a-5p,hsa-miR-133a-3p,hsa-miR-10a-5p,hsa-miR-30a-5p,hsa-miR-98-5p,hsa-miR-182-5p,hsa-miR-941,hsa-miR-99b-3p,hsa-miR-766-3p,hsa-miR-92b-3p,hsa-miR-433-3p,hsa-miR-661,hsa-miR-559,hsa-miR-320b,hsa-miR-125b-5p,hsa-miR-149-5p,hsa-miR-30b-5p,hsa-miR-100-5p,hsa-miR-126-3p,hsa-miR-143-3p,hsa-let-7g-5p,hsa-miR-217,hsa-miR-622,hsa-miR-181c-5p,hsa-miR-96-5p,hsa-miR-107,hsa-miR-373-3p,hsa-miR-1301-3p,hsa-miR-484,hsa-miR-101-3p,hsa-miR-32-5p,hsa-miR-137,hsa-miR-221-3p,hsa-miR-423-3p,hsa-miR-140-5p,hsa-miR-1180-3p,hsa-let-7d-5p,hsa-miR-146b-3p,hsa-miR-27a-3p,hsa-miR-210-3p,hsa-miR-148a-3p,hsa-miR-377-3p,mmu-miR-465a-5p,hsa-miR-423-5p,hsa-miR-106b-3p,hsa-miR-129-1-3p,hsa-miR-15b-5p,hsa-miR-1260b,hsa-miR-204-5p,hsa-miR-25-3p,hsa-miR-1274a,hsa-miR-505-3p,hsa-miR-197-3p,hsa-miR-26a-5p,hsa-miR-23a-3p,hsa-miR-29a-3p,hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-216a-5p,hsa-miR-330-3p,hsa-miR-608,hsa-miR-195-5p,hsa-miR-500a-3p,hsa-miR-503-5p,hsa-miR-103a-3p,hsa-miR-31-3p,hsa-miR-320c,hsa-miR-146b-5p,hsa-miR-218-5p,hsa-miR-30c-2-3p,hsa-miR-424-5p,hsa-miR-1826,hsa-miR-497-5p,hsa-miR-128-3p,hsa-miR-19b-1-5p,hsa-miR-99a-5p,hsa-miR-133b,hsa-miR-181b-5p,hsa-miR-346,hsa-miR-324-3p,hsa-miR-483-5p,hsa-miR-1307-3p,hsa-miR-1227-3p,hsa-miR-935,hsa-miR-652-3p,hsa-miR-326,hsa-miR-342-3p,hsa-miR-361-5p,hsa-miR-10b-5p,hsa-miR-15a-5p,rno-miR-194-5p,hsa-miR-194-5p,hsa-miR-28-5p,hsa-miR-199a-3p,hsa-miR-769-5p,hsa-miR-542-5p,hsa-miR-128b,hsa-miR-301b,hsa-miR-644a,hsa-miR-1303,hsa-miR-1295a,hsa-miR-455-3p,hsa-miR-378a-3p,hsa-miR-3176,hsa-let-7i-5p,hsa-miR-18b-5p,hsa-miR-376a-3p"
"Interleukin-11 Signaling Pathway","http://wikipathways.org/instance/WP2332","8554,860,3265,5781,6774,1147,5894,6772,10401,5970,332,7297,3381,3383,7040,101060431,9021,3673,6714,596,5605,3590,3572,5604,7525,5170,3551,632,1385,3716,207,2242,3717,5524,6198,466,2885,5595,2534,5295,5296,6194,3589,6195,5594","","","hsa-miR-424-5p,hsa-miR-124-3p,hsa-miR-135b-5p,hsa-miR-155-5p,hsa-miR-335-5p,hsa-miR-204-5p,hsa-miR-433-3p,hsa-miR-338-3p,hsa-miR-30d-5p,hsa-miR-30a-5p,hsa-miR-505-5p,hsa-miR-484,hsa-miR-30b-5p,hsa-miR-181d-5p,hsa-let-7a-5p,hsa-miR-143-3p,hsa-miR-181a-5p,hsa-miR-615-3p,hsa-miR-489-3p,hsa-miR-23a-3p,hsa-miR-218-5p,hsa-miR-130b-5p,hsa-miR-193b-3p,hsa-miR-320a,hsa-miR-183-5p,hsa-miR-20b-5p,hsa-miR-125b-5p,hsa-miR-337-3p,hsa-miR-93-5p,hsa-miR-21-5p,hsa-miR-92a-3p,hsa-miR-20a-5p,hsa-let-7e-5p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-223-3p,hsa-miR-23b-3p,hsa-miR-195-5p,hsa-miR-7-5p,hsa-miR-186-5p,hsa-miR-145-5p,hsa-miR-146a-5p,hsa-miR-34a-5p,hsa-miR-10a-5p,hsa-miR-373-3p,hsa-miR-96-5p,hsa-miR-324-5p,hsa-miR-30e-5p,hsa-miR-203a,hsa-miR-542-3p,hsa-miR-425-5p,hsa-miR-101-3p,hsa-miR-1301-3p,hsa-miR-1226-3p,hsa-miR-149-5p,hsa-miR-30c-5p,hsa-let-7b-5p,hsa-miR-26b-5p,hsa-miR-17-3p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-31-5p,hsa-miR-17-5p,hsa-miR-1256,hsa-miR-98-5p,hsa-miR-633,hsa-miR-24-3p,hsa-miR-744-5p,hsa-miR-103a-3p,hsa-miR-33a-5p,hsa-miR-205-5p,hsa-miR-34b-5p,hsa-miR-153-3p,hsa-miR-15b-5p,hsa-miR-365a-3p,hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p,hsa-miR-181b-5p,hsa-miR-181c-5p,hsa-miR-34c-5p,hsa-miR-192-5p,hsa-miR-630,hsa-miR-451a,hsa-miR-449a,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-429,hsa-miR-136-5p,hsa-miR-148a-3p,hsa-miR-24-2-5p,hsa-miR-182-5p,hsa-miR-196b-5p,hsa-miR-375,hsa-miR-215-5p,hsa-miR-346,hsa-miR-590-3p,hsa-miR-1826,hsa-miR-497-5p,hsa-miR-128-3p,hsa-miR-93-3p,hsa-miR-519a-3p,hsa-miR-125a-5p,hsa-miR-142-3p,hsa-miR-106b-5p,hsa-miR-423-5p,hsa-miR-331-3p,hsa-miR-185-5p,hsa-miR-199a-5p,hsa-miR-151a-3p,hsa-miR-122-5p,hsa-miR-149-3p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302c-3p,hsa-miR-302d-3p,hsa-miR-135a-5p,hsa-miR-326,hsa-miR-877-3p,hsa-miR-877-5p,hsa-miR-23a-5p,hsa-miR-378a-3p,hsa-miR-92b-3p,hsa-miR-100-5p,hsa-miR-483-5p,hsa-miR-320b,hsa-miR-423-3p,hsa-miR-376a-3p,hsa-miR-126-3p,hsa-miR-133a-3p,hsa-miR-296-3p,hsa-miR-652-3p,hsa-miR-182-3p,hsa-miR-99a-5p,hsa-let-7d-5p,hsa-miR-1260b,hsa-miR-211-5p,hsa-miR-379-5p,hsa-miR-1,hsa-miR-28-5p,hsa-miR-199a-3p,hsa-miR-766-3p,hsa-miR-769-5p"
"NOTCH1 regulation of human endothelial cell calcification","http://wikipathways.org/instance/WP3413","3714,813,3672,54567,2702,4851,1902,10683,2261,4256,28514,101060613,182,7422,55553,6303,5327,249","","","hsa-miR-335-5p,hsa-miR-124-3p,hsa-miR-484,hsa-miR-92a-3p,hsa-miR-375,hsa-miR-155-5p,hsa-miR-132-3p,hsa-miR-122-5p,hsa-miR-7-5p,hsa-miR-103a-3p,hsa-miR-16-5p,hsa-miR-365a-3p,hsa-miR-320a,hsa-miR-29b-3p,hsa-miR-1,hsa-miR-26b-5p,hsa-miR-34c-5p,hsa-miR-34b-3p,hsa-miR-449a,hsa-miR-27b-3p,hsa-miR-24-3p,hsa-miR-23b-3p,hsa-miR-34a-5p,hsa-miR-30a-5p,hsa-miR-326,hsa-miR-129-5p,hsa-miR-144-3p,hsa-miR-10b-5p,hsa-miR-181a-5p,hsa-miR-200c-3p,hsa-miR-100-5p,hsa-miR-99a-5p,hsa-miR-21-5p,hsa-miR-524-5p,hsa-miR-98-5p,hsa-let-7b-5p,hsa-miR-200b-3p,hsa-miR-373-3p,hsa-miR-302d-3p,hsa-miR-145-5p,hsa-miR-126-3p,hsa-miR-147a,hsa-miR-134-5p,hsa-miR-140-5p,hsa-miR-107,hsa-miR-93-5p,hsa-miR-17-5p,hsa-miR-150-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-520g-3p,hsa-miR-378a-3p,hsa-miR-330-3p,hsa-miR-383-5p,hsa-miR-125a-5p,hsa-miR-361-5p,hsa-miR-20a-5p,hsa-miR-20b-5p,hsa-miR-504-5p,hsa-miR-520h,hsa-miR-372-3p,hsa-miR-106a-5p,hsa-miR-106b-5p,hsa-miR-205-5p,hsa-miR-503-5p,hsa-miR-29c-3p,hsa-miR-9-5p,hsa-miR-133a-3p,hsa-miR-101-3p,hsa-miR-499a-5p,hsa-miR-744-5p,hsa-miR-455-3p,hsa-miR-652-3p,hsa-miR-204-5p"
"FTO Obesity Variant Mechanism","http://wikipathways.org/instance/WP3407","79068,6899,63976,10891,10265,84159,7350,79191","","","hsa-let-7b-5p,hsa-miR-1180-3p,hsa-miR-744-5p,hsa-miR-484,hsa-miR-133b,hsa-miR-133a-3p,hsa-miR-96-5p,hsa-miR-615-3p,hsa-miR-346,hsa-miR-221-3p,hsa-miR-23a-3p,hsa-miR-335-5p,hsa-miR-98-5p,hsa-miR-421,hsa-miR-425-3p,hsa-miR-378a-5p,hsa-miR-128-3p,hsa-miR-101-3p,hsa-miR-22-3p"
"DNA Damage Response","http://wikipathways.org/instance/WP707","842,841,2810,1869,5893,5371,983,4616,11011,50484,5888,6118,4361,637,672,5884,5883,100422899,581,5981,4193,63970,25,1385,5925,100422832,836,5366,9874,55367,10912,472,545,5591,4609,8243,11200,4683,317,84126,1027,1026,27113,1647,8795,1643,10111,2177,595,1017,1111,27244,1019,3014,7157,1020,135458,54205,355,1021,9134,9133,995,993,5810,894,891,898,85417,896","100422899,100422899,100422832,100422832","hsa-mir-3190,hsa-mir-3191,hsa-mir-3190,hsa-mir-3191","hsa-miR-133a-3p,hsa-let-7a-5p,hsa-miR-193b-3p,hsa-miR-7-5p,hsa-miR-26b-5p,hsa-miR-19b-1-5p,hsa-miR-1,hsa-miR-34a-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-223-3p,hsa-miR-330-3p,hsa-miR-98-5p,hsa-miR-21-5p,hsa-miR-93-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-205-5p,hsa-miR-23b-3p,hsa-miR-126-3p,hsa-miR-149-3p,hsa-miR-331-3p,hsa-miR-362-3p,hsa-miR-130b-3p,hsa-miR-24-3p,hsa-miR-181b-5p,hsa-miR-10a-5p,hsa-miR-210-3p,hsa-miR-373-3p,hsa-miR-335-5p,hsa-miR-423-3p,hsa-miR-378a-3p,hsa-miR-31-5p,hsa-miR-663a,hsa-miR-590-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-142-3p,hsa-miR-197-3p,hsa-miR-124-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-103a-3p,hsa-miR-92a-1-5p,hsa-miR-19b-3p,hsa-miR-1226-3p,hsa-miR-375,hsa-miR-30a-5p,hsa-miR-149-5p,hsa-miR-146a-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-212-3p,hsa-miR-99b-3p,hsa-miR-484,hsa-miR-186-5p,hsa-miR-181a-5p,hsa-miR-196a-5p,hsa-let-7d-5p,hsa-miR-504-5p,hsa-miR-148b-3p,hsa-miR-122-5p,hsa-miR-365a-3p,hsa-miR-324-3p,hsa-miR-222-3p,hsa-miR-32-5p,hsa-miR-25-3p,hsa-miR-143-3p,hsa-miR-145-5p,hsa-miR-18b-5p,hsa-miR-605-5p,hsa-miR-3929,hsa-miR-203a,hsa-miR-29a-3p,hsa-miR-342-3p,hsa-miR-125b-5p,hsa-let-7b-5p,hsa-miR-34b-5p,hsa-miR-182-5p,hsa-miR-200b-3p,hsa-miR-26a-5p,hsa-miR-675-5p,hsa-miR-132-3p,hsa-miR-100-5p,hsa-miR-99a-5p,hsa-miR-30d-5p,hsa-miR-138-5p,hsa-miR-128-3p,hsa-miR-221-3p,hsa-miR-200c-3p,hsa-let-7f-2-3p,hsa-miR-18a-3p,hsa-miR-28-5p,hsa-miR-421,hsa-miR-101-5p,hsa-miR-101-3p,hsa-miR-374a-5p,hsa-miR-18a-5p,hsa-miR-3144-3p,hsa-let-7f-5p,hsa-let-7g-5p,hsa-miR-451a,hsa-let-7c-5p,hsa-miR-34c-5p,hsa-miR-34b-3p,hsa-miR-135a-5p,hsa-miR-449c-5p,hsa-miR-429,hsa-miR-320b,hsa-miR-744-5p,hsa-miR-423-5p,hsa-miR-320a,hsa-let-7e-5p,hsa-miR-615-3p,hsa-miR-339-5p,hsa-miR-328-3p,hsa-miR-155-5p,hsa-miR-190a-5p,hsa-miR-218-5p,hsa-miR-128b,hsa-miR-1260b,hsa-miR-10b-5p,hsa-miR-942-5p,hsa-miR-657,hsa-miR-654-3p,hsa-miR-639,hsa-miR-572,hsa-miR-520h,hsa-miR-520b,hsa-miR-520a-3p,hsa-miR-519e-3p,hsa-miR-519d-3p,hsa-miR-519b-3p,hsa-miR-515-3p,hsa-miR-372-3p,hsa-miR-363-3p,hsa-miR-345-5p,hsa-miR-299-5p,hsa-miR-298,hsa-miR-20b-5p,hsa-miR-208b-3p,hsa-miR-208a-3p,hsa-miR-125a-5p,hsa-miR-503-5p,hsa-miR-519a-3p,hsa-miR-96-5p,hsa-miR-302a-3p,hsa-miR-146b-5p,hsa-miR-519c-3p,hsa-miR-1229-3p,hsa-miR-505-5p,hsa-miR-483-3p,hsa-miR-296-5p,hsa-miR-340-5p,hsa-miR-940,hsa-miR-769-5p,hsa-miR-505-3p,hsa-miR-195-5p,hsa-miR-424-5p,hsa-miR-16-1-3p,hsa-miR-19a-3p,hsa-miR-15b-5p,hsa-miR-449a,hsa-miR-302c-3p,hsa-miR-338-3p,hsa-miR-9-5p,hsa-miR-374b-5p,hsa-miR-425-5p,hsa-miR-183-5p,hsa-miR-885-5p,hsa-miR-302d-3p,hsa-miR-376a-3p,hsa-miR-361-5p,hsa-miR-99b-5p,hsa-miR-449b-5p,hsa-miR-766-3p,hsa-miR-1285-3p,hsa-miR-612,hsa-miR-214-3p,hsa-miR-608,hsa-miR-485-5p,hsa-miR-27a-3p,hsa-miR-454-3p,hsa-miR-324-5p,hsa-miR-150-5p,hsa-miR-148a-3p,hsa-miR-320c,hsa-miR-29b-3p,mmu-miR-124-3p,mmu-miR-137-3p,hsa-miR-107,hsa-miR-30a-3p,hsa-miR-137,hsa-miR-29c-3p,hsa-miR-185-5p,hsa-miR-191-5p,hsa-miR-22-3p,hsa-miR-1303,hsa-miR-30b-5p,hsa-miR-200a-3p,hsa-miR-877-3p,hsa-let-7i-5p,hsa-miR-943,hsa-miR-302b-3p,hsa-miR-206,hsa-miR-877-5p,hsa-miR-301a-3p,hsa-miR-151a-3p,hsa-miR-342-5p,hsa-miR-27b-3p"
"NAD Biosynthesis II (from tryptophan)","http://wikipathways.org/instance/WP2485","64802,23498,8942,8564,23475,125061,55191,6999","","","hsa-miR-124-3p,hsa-miR-335-5p,hsa-miR-26b-5p,hsa-miR-1226-3p,hsa-miR-423-3p"
"AGE/RAGE pathway","http://wikipathways.org/instance/WP2324","3725,842,841,4303,6774,1147,5894,5579,6464,5578,6772,3625,4615,1729,387,1386,3630,51135,249,5580,6093,5601,4313,6647,4846,4318,5321,4843,4316,5604,3091,3551,207,836,3717,1650,5590,4088,5595,6777,6776,3643,4790,3958,4322,5879,4792,5594,4087,5599,114609,1432,1956,5970,177,4323,6714,2308,4481,6667,7430,4478,54205,653361,3667,998","","","hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-155-5p,hsa-miR-30a-5p,hsa-miR-29c-3p,hsa-miR-101-3p,hsa-miR-26b-5p,hsa-miR-342-3p,hsa-miR-149-5p,hsa-miR-93-5p,hsa-miR-133a-3p,hsa-let-7a-5p,hsa-miR-193b-3p,hsa-miR-7-5p,hsa-miR-19b-1-5p,hsa-miR-499a-5p,hsa-miR-335-5p,hsa-miR-615-3p,hsa-miR-20b-5p,hsa-miR-125b-5p,hsa-miR-337-3p,hsa-miR-21-5p,hsa-miR-92a-3p,hsa-miR-20a-5p,hsa-let-7e-5p,hsa-miR-223-3p,hsa-miR-23b-3p,hsa-miR-195-5p,hsa-miR-186-5p,hsa-miR-124-3p,hsa-miR-429,hsa-miR-200a-3p,hsa-miR-200c-3p,hsa-miR-141-3p,hsa-miR-200b-3p,hsa-miR-30b-5p,mmu-miR-24-2-5p,hsa-miR-375,hsa-miR-505-3p,hsa-miR-17-3p,hsa-miR-145-5p,hsa-miR-146a-5p,hsa-miR-34a-5p,hsa-miR-203a,hsa-let-7b-5p,hsa-miR-328-3p,hsa-miR-320a,hsa-miR-185-5p,hsa-miR-27b-3p,hsa-miR-18a-5p,hsa-miR-31-5p,hsa-miR-122-5p,hsa-miR-31-3p,hsa-miR-320c,hsa-miR-146b-5p,hsa-miR-221-3p,hsa-miR-374b-5p,hsa-miR-19b-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-204-5p,hsa-miR-484,hsa-miR-584-5p,hsa-miR-1280,hsa-miR-148b-3p,hsa-miR-199a-3p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-29b-3p,hsa-miR-451a,hsa-miR-338-3p,hsa-miR-377-3p,hsa-miR-378a-3p,hsa-miR-197-3p,hsa-miR-10a-5p,hsa-miR-449c-5p,hsa-miR-26a-5p,hsa-miR-126-5p,hsa-miR-126-3p,hsa-miR-424-5p,hsa-miR-1826,hsa-miR-497-5p,hsa-miR-128-3p,hsa-miR-181a-5p,hsa-miR-93-3p,hsa-miR-30c-5p,hsa-miR-519c-3p,hsa-miR-107,hsa-miR-138-5p,hsa-miR-199b-5p,hsa-miR-33a-5p,hsa-miR-106b-3p,hsa-miR-199a-5p,hsa-miR-218-5p,hsa-miR-151a-3p,hsa-miR-149-3p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302c-3p,hsa-miR-302d-3p,hsa-miR-143-3p,hsa-miR-30d-5p,hsa-miR-196a-5p,hsa-miR-135a-5p,hsa-miR-324-3p,hsa-let-7i-5p,hsa-miR-483-5p,hsa-miR-320b,hsa-miR-423-3p,hsa-miR-1229-3p,hsa-miR-222-3p,hsa-miR-9-5p,mmu-miR-210-3p,hsa-miR-424-3p,hsa-miR-744-5p,hsa-miR-27a-3p,hsa-miR-100-5p,hsa-miR-140-5p,hsa-miR-132-3p,hsa-miR-142-3p,rno-miR-194-5p,hsa-miR-194-5p,hsa-miR-652-3p,kshv-miR-K12-1-5p,hsa-miR-30e-3p,hsa-miR-24-3p,hsa-miR-28-5p,hsa-miR-766-3p,hsa-miR-769-5p,hsa-miR-92b-3p,hsa-miR-15b-5p,hsa-miR-324-5p,hsa-miR-214-3p,hsa-miR-421,hsa-miR-125a-5p,hsa-miR-140-3p,hsa-miR-877-5p,hsa-miR-542-5p,hsa-miR-1,hsa-miR-128b,hsa-miR-133b,hsa-miR-301b,hsa-miR-373-3p,hsa-miR-96-5p,hsa-miR-30e-5p,hsa-miR-205-5p,hsa-miR-182-5p,hsa-miR-153-3p,hsa-miR-183-5p,hsa-miR-98-5p,hsa-miR-22-3p,hsa-miR-625-5p,hsa-miR-99b-5p,hsa-let-7f-5p,hsa-miR-1180-3p,hsa-miR-25-3p,hsa-miR-148a-3p,hsa-miR-361-5p,hsa-miR-152-3p,hsa-miR-224-5p,hsa-miR-29a-3p,hsa-miR-137,hsa-miR-216a-5p,hsa-miR-330-3p,hsa-miR-608"
